qtype,question,answer,possible_ambiguities,ambiguous_question,unambiguous_question
frequency,How many people are affected by Nager syndrome ?,"Nager syndrome is a rare condition, although its prevalence is unknown. More than 75 cases have been reported in the medical literature.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""Nager syndrome"", ""full_form"": ""Nager acrofacial dysostosis""}]}",How many people are affected by Nager syndrome ?,How many people are affected by Nager acrofacial dysostosis ?
information,Do you have information about Child Development,"Summary : As children grow older, they develop in several different ways. Child development includes physical, intellectual, social, and emotional changes.    Children grow and mature at very different rates. It's hard to say what ""normal"" is. There can be big differences in height, weight, and build among healthy children. Diet, exercise and genes are all factors. Some children begin puberty or are close to it before they are teenagers.    Children start to become more independent from their parents. They may rebel. They also look outward - to their friends, who are usually of the same sex. Peer approval becomes very important. Your child may try new behaviors to be part of ""the group."" This can also be the time that parents or teachers recognize learning disabilities or behavioral problems in children. These problems can get worse as time goes on, so it is important to get help early.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CD"", ""full_form"": ""Child Development""}]}",Do you have information about CD,Do you have information about Child Development
causes,What causes Best vitelliform macular dystrophy ?,"What causes Best vitelliform macular dystrophy? Best vitelliform macular dystrophy (BVMD) is caused by changes (mutations) in the BEST1 gene. This gene gives the body instructions for making a protein called bestrophin. Bestrophin acts as a channel that controls the movement of chloride ions within the retina. It is thought that mutations in the BEST1 gene affect the shape of the channel and its ability to properly regulate the flow of chloride. However, it is unclear how exactly this relates to the specific features of BVMD.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BMD"", ""full_form"": ""Best vitelliform macular dystrophy""}]}",What causes BMD ?,What causes Best vitelliform macular dystrophy ?
information,What is (are) Sjgren syndrome ?,"Sjgren syndrome is a disorder whose main features are dry eyes and a dry mouth. The condition typically develops gradually beginning in middle adulthood, but can occur at any age.  Sjgren syndrome is classified as an autoimmune disorder, one of a large group of conditions that occur when the immune system attacks the body's own tissues and organs. In Sjgren syndrome, the immune system primarily attacks the glands that produce tears (the lacrimal glands) and saliva (the salivary glands), impairing the glands' ability to secrete these fluids.  Dry eyes may lead to itching, burning, a feeling of sand in the eyes, blurry vision, or intolerance of bright or fluorescent lighting. A dry mouth can feel chalky or full of cotton, and affected individuals may have difficulty speaking, tasting food, or swallowing. Because saliva helps protect the teeth and the tissues of the oral cavity, people with Sjgren syndrome are at increased risk of tooth decay and infections in the mouth.  In most people with Sjgren syndrome, dry eyes and dry mouth are the primary features of the disorder, and general health and life expectancy are largely unaffected. However, in some cases the immune system also attacks and damages other organs and tissues. This complication is known as extraglandular involvement. Affected individuals may develop inflammation in connective tissues, which provide strength and flexibility to structures throughout the body. Disorders involving connective tissue inflammation are sometimes called rheumatic conditions. In Sjgren syndrome, extraglandular involvement may result in painful inflammation of the joints and muscles; dry, itchy skin and skin rashes; chronic cough; a hoarse voice; kidney and liver problems; numbness or tingling in the hands and feet; and, in women, vaginal dryness. Prolonged and extreme tiredness (fatigue) severe enough to affect activities of daily living may also occur in this disorder. A small number of people with Sjgren syndrome develop lymphoma, a blood-related cancer that causes tumor formation in the lymph nodes.  When Sjgren syndrome first occurs on its own, it is called primary Sjgren syndrome. Some individuals who are first diagnosed with another rheumatic disorder, such as rheumatoid arthritis or systemic lupus erythematosus, later develop the dry eyes and dry mouth characteristic of Sjgren syndrome. In such cases, the individual is said to have secondary Sjgren syndrome. Other autoimmune disorders can also develop after the onset of primary Sjgren syndrome. In all, about half of all individuals with Sjgren syndrome also have another autoimmune disorder.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""Sjgren syndrome"", ""full_form"": ""Sj\u00f6gren's syndrome""}]}",What is (are) Sjgren syndrome ?,What is (are) Sjögren's syndrome ?
information,What is (are) Childhood Nephrotic Syndrome ?,"The kidneys are two bean-shaped organs, each about the size of a fist. They are located just below the rib cage, one on each side of the spine. Every day, the kidneys filter about 120 to 150 quarts of blood to produce about 1 to 2 quarts of urine, composed of wastes and extra fluid. Children produce less urine than adults and the amount produced depends on their age. The urine flows from the kidneys to the bladder through tubes called ureters. The bladder stores urine. When the bladder empties, urine flows out of the body through a tube called the urethra, located at the bottom of the bladder.
                
Kidneys work at the microscopic level. The kidney is not one large filter. Each kidney is made up of about a million filtering units called nephrons. Each nephron filters a small amount of blood. The nephron includes a filter, called the glomerulus, and a tubule. The nephrons work through a two-step process. The glomerulus lets fluid and waste products pass through it; however, it prevents blood cells and large molecules, mostly proteins, from passing. The filtered fluid then passes through the tubule, which sends needed minerals back to the bloodstream and removes wastes.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CNS"", ""full_form"": ""Childhood Nephrotic Syndrome""}]}",What is (are) CNS ?,What is (are) Childhood Nephrotic Syndrome ?
inheritance,Is junctional epidermolysis bullosa inherited ?,"Both types of junctional epidermolysis bullosa are inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""JEB"", ""full_form"": ""junctional epidermolysis bullosa""}]}",Is JEB inherited ?,Is junctional epidermolysis bullosa inherited ?
complications,What are the complications of Vesicoureteral Reflux ?,"When a child with VUR gets a UTI, bacteria can move into the kidney and lead to scarring. Scarring of the kidney can be associated with high blood pressure and kidney failure. However, most children with VUR who get a UTI recover without long-term complications.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""VUR"", ""full_form"": ""Vesicoureteral Reflux""}]}",What are the complications of VUR ?,What are the complications of Vesicoureteral Reflux ?
symptoms,What are the symptoms of Primary spontaneous pneumothorax ?,"What are the signs and symptoms of Primary spontaneous pneumothorax? The Human Phenotype Ontology provides the following list of signs and symptoms for Primary spontaneous pneumothorax. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the pleura 90% Autosomal dominant inheritance - Incomplete penetrance - Spontaneous pneumothorax - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PSP"", ""full_form"": ""Primary spontaneous pneumothorax""}]}",What are the symptoms of PSP ?,What are the symptoms of Primary spontaneous pneumothorax ?
treatment,What are the treatments for Charcot-Marie-Tooth Disease ?,"There is no cure for CMT, but physical therapy, occupational therapy, braces and other orthopedic devices, and orthopedic surgery can help people cope with the disabling symptoms of the disease. In addition, pain-killing drugs can be prescribed for patients who have severe pain.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CMT"", ""full_form"": ""Charcot-Marie-Tooth Disease""}]}",What are the treatments for CMT ?,What are the treatments for Charcot-Marie-Tooth Disease ?
information,What is (are) Oculopharyngeal muscular dystrophy ?,"Oculopharyngeal muscular dystrophy (OPMD) is a genetic muscle disorder with onset during adulthood, most often between 40 and 60 years of age. This condition is characterized by slowly progressive muscle disease (myopathy) affecting the muscles of the upper eyelids and the throat. There are two types of OPMD, which are distinguished by their patterns of inheritance. They are known as the autosomal dominant and autosomal recessive types. Both types are caused by mutations in the PABPN1 gene.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""OPMD"", ""full_form"": ""Oculopharyngeal muscular dystrophy""}]}",What is (are) OPMD ?,What is (are) Oculopharyngeal muscular dystrophy ?
prevention,How to prevent Medullary Sponge Kidney ?,"Health care providers may prescribe certain medications to prevent UTIs and kidney stones:
                
- A person with medullary sponge kidney may need to continue taking a low-dose antibiotic to prevent recurrent infections.  - Medications that reduce calcium in the urine may help prevent calcium kidney stones. These medications may include      - potassium citrate    - thiazide","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MSK"", ""full_form"": ""Medullary Sponge Kidney""}]}",How to prevent MSK ?,How to prevent Medullary Sponge Kidney ?
treatment,What are the treatments for Nager syndrome ?,These resources address the diagnosis or management of Nager syndrome:  - Genetic Testing Registry: Nager syndrome  - University of California San Francisco Medical Center   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""Nager syndrome"", ""full_form"": ""Nager acrofacial dysostosis""}]}",What are the treatments for Nager syndrome ?,What are the treatments for Nager acrofacial dysostosis ?
information,What is (are) Spinocerebellar ataxia 15 ?,"Spinocerebellar ataxia 15 (SCA15) is a neurological condition characterized by slowly progressive gait and limb ataxia, often in combination with eye movement abnormalities and  balance, speech and swallowing difficulties. The onset of symptoms typically occurs between ages 7 and 66 years. The ability to walk independently is often maintained for many years following onset of symptoms. SCA15 is caused by mutations in the ITPR1 gene. It is inherited in an autosomal dominant manner. Diagnosis is based on clinical history, physical examination, molecular genetic testing, and exclusion of other similar diseases. There is no effective treatment known to modify disease progression. Patients may benefit from occupational and physical therapy for gait dysfunction and speech therapy for dysarthria.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""SCA15"", ""full_form"": ""Spinocerebellar ataxia 15""}]}",What is (are) SCA15 ?,What is (are) Spinocerebellar ataxia 15 ?
information,What is (are) Tourette syndrome ?,"Tourette syndrome is a complex neurological disorder that is characterized by repetitive, sudden, uncontrolled (involuntary) movements and sounds (vocalizations) called tics. Tourette syndrome is named for Georges Gilles de la Tourette, who first described this disorder in 1885. A variety of genetic and environmental factors likely play a role in causing Tourette syndrome. A small number of people with Tourette syndrome have been found to have mutations involving the SLITRK1 gene. The syndrome is believed to be linked to problems in certain areas of the brain, and the chemical substances (dopamine, serotonin, and norepinephrine) that help nerve cells talk to one another. It is estimated that about 1% of the population has Tourette syndrome. Many people with very mild tics may not be aware of them and never seek medical help. Tourette syndrome is four times as likely to occur in boys as in girls. Although Tourette syndrome can be a chronic condition with symptoms lasting a lifetime, most people with the condition experience their worst symptoms in their early teens, with improvement occurring in the late teens and continuing into adulthood.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""TS"", ""full_form"": ""Tourette syndrome""}]}",What is (are) TS ?,What is (are) Tourette syndrome ?
symptoms,What are the symptoms of ADNP syndrome ?,"What are the signs and symptoms of ADNP syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for ADNP syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of cardiovascular system morphology 5% Seizures 5% Autistic behavior - Cleft eyelid - Feeding difficulties - Hyperactivity - Hypermetropia - Intellectual disability - Joint laxity - Language impairment - Muscular hypotonia - Obesity - Obsessive-compulsive behavior - Prominent forehead - Ptosis - Recurrent infections - Short nose - Short stature - Small hand - Smooth philtrum - Stereotypic behavior - Strabismus - Visual impairment - Wide nasal bridge - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""ADNP"", ""full_form"": ""Activity-Dependent Neuroprotector Homeobox""}]}",What are the symptoms of ADNP syndrome ?,What are the symptoms of Activity-Dependent Neuroprotector Homeobox syndrome ?
frequency,How many people are affected by Beckwith-Wiedemann syndrome ?,"Beckwith-Wiedemann syndrome affects an estimated 1 in 13,700 newborns worldwide. The condition may actually be more common than this estimate because some people with mild symptoms are never diagnosed.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BWS"", ""full_form"": ""Beckwith-Wiedemann syndrome""}]}",How many people are affected by BWS ?,How many people are affected by Beckwith-Wiedemann syndrome ?
frequency,How many people are affected by atypical hemolytic-uremic syndrome ?,"The incidence of atypical hemolytic-uremic syndrome is estimated to be 1 in 500,000 people per year in the United States. The atypical form is probably about 10 times less common than the typical form.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""aHUS"", ""full_form"": ""atypical hemolytic-uremic syndrome""}]}",How many people are affected by aHUS ?,How many people are affected by atypical hemolytic-uremic syndrome ?
inheritance,Is Myoclonic epilepsy with ragged red fibers inherited ?,"Is myoclonic epilepsy associated with ragged red fibers genetic? If so, how is it inherited? MERRF is caused by mutations in the mitochondrial DNA and is transmitted by maternal inheritance. It is called maternal inheritance because a child inherits the great majority of their mitochondria from their mother through the egg.   The Centre for Genetics Education provides a detail description of maternal inheritance.  The mother of an individual with MERRF usually has a mitochondrial mutation and may or may not have symptoms.  Or, an individual with MERRF may have a mitochondrial mutation that just occurred in them, called a de novo mutation.  If the mother has the mitochondrial mutation, all of her children will inherit the mutation and may or may not have symptoms.  All of her daughters children will also inherit the mitochondrial mutation.  Her son's children are not at risk of inheriting the mutation.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MERRF"", ""full_form"": ""Myoclonic epilepsy with ragged red fibers""}]}",Is MERRF inherited ?,Is Myoclonic epilepsy with ragged red fibers inherited ?
exams and tests,How to diagnose Iron-Deficiency Anemia ?,"Your doctor will diagnose iron-deficiency anemia based on your medical history, a physical exam, and the results from tests and procedures.
                
Once your doctor knows the cause and severity of the condition, he or she can create a treatment plan for you.
                
Mild to moderate iron-deficiency anemia may have no signs or symptoms. Thus, you may not know you have it unless your doctor discovers it from a screening test or while checking for other problems.
                
Specialists Involved
                
Primary care doctors often diagnose and treat iron-deficiency anemia. These doctors include pediatricians, family doctors, gynecologists/obstetricians, and internal medicine specialists.
                
A hematologist (a blood disease specialist), a gastroenterologist (a digestive system specialist), and other specialists also may help treat iron-deficiency anemia.
                
Medical History
                
Your doctor will ask about your signs and symptoms and any past problems you've had with anemia or low iron. He or she also may ask about your diet and whether you're taking any medicines.
                
If you're a woman, your doctor may ask whether you might be pregnant.
                
Physical Exam
                
Your doctor will do a physical exam to look for signs of iron-deficiency anemia. He or she may:
                
Look at your skin, gums, and nail beds to see whether they're pale
                
Listen to your heart for rapid or irregular heartbeats
                
Listen to your lungs for rapid or uneven breathing
                
Feel your abdomen to check the size of your liver and spleen
                
Do a pelvic and rectal exam to check for internal bleeding
                
Diagnostic Tests and Procedures
                
Many tests and procedures are used to diagnose iron-deficiency anemia. They can help confirm a diagnosis, look for a cause, and find out how severe the condition is.
                
Complete Blood Count
                
Often, the first test used to diagnose anemia is a complete blood count (CBC). The CBC measures many parts of your blood.
                
This test checks your hemoglobin and hematocrit (hee-MAT-oh-crit) levels. Hemoglobin is an iron-rich protein in red blood cells that carries oxygen to the body. Hematocrit is a measure of how much space red blood cells take up in your blood. A low level of hemoglobin or hematocrit is a sign of anemia.
                
The normal range of these levels varies in certain racial and ethnic populations. Your doctor can explain your test results to you.
                
The CBC also checks the number of red blood cells, white blood cells, and platelets in your blood. Abnormal results may be a sign of infection, a blood disorder, or another condition.
                
Finally, the CBC looks at mean corpuscular (kor-PUS-kyu-lar) volume (MCV). MCV is a measure of the average size of your red blood cells. The results may be a clue as to the cause of your anemia. In iron-deficiency anemia, for example, red blood cells usually are smaller than normal.
                
Other Blood Tests
                
If the CBC results confirm you have anemia, you may need other blood tests to find out what's causing the condition, how severe it is, and the best way to treat it.
                
Reticulocyte count. This test measures the number of reticulocytes (re-TIK-u-lo-sites) in your blood. Reticulocytes are young, immature red blood cells. Over time, reticulocytes become mature red blood cells that carry oxygen throughout your body.
                
A reticulocyte count shows whether your bone marrow is making red blood cells at the correct rate.
                
Peripheral smear. For this test, a sample of your blood is examined under a microscope. If you have iron-deficiency anemia, your red blood cells will look smaller and paler than normal.
                
Tests to measure iron levels. These tests can show how much iron has been used from your body's stored iron. Tests to measure iron levels include:
                
Serum iron. This test measures the amount of iron in your blood. The level of iron in your blood may be normal even if the total amount of iron in your body is low. For this reason, other iron tests also are done.
                
Serum ferritin. Ferritin is a protein that helps store iron in your body. A measure of this protein helps your doctor find out how much of your body's stored iron has been used.
                
Transferrin level, or total iron-binding capacity. Transferrin is a protein that carries iron in your blood. Total iron-binding capacity measures how much of the transferrin in your blood isn't carrying iron. If you have iron-deficiency anemia, you'll have a high level of transferrin that has no iron.
                
Other tests. Your doctor also may recommend tests to check your hormone levels, especially your thyroid hormone. You also may have a blood test for a chemical called erythrocyte protoporphyrin. This chemical is a building block for hemoglobin.
                
Children also may be tested for the level of lead in their blood. Lead can make it hard for the body to produce hemoglobin.
                
Tests and Procedures for Gastrointestinal Blood Loss
                
To check whether internal bleeding is causing your iron-deficiency anemia, your doctor may suggest a fecal occult blood test. This test looks for blood in the stools and can detect bleeding in the intestines.
                
If the test finds blood, you may have other tests and procedures to find the exact spot of the bleeding. These tests and procedures may look for bleeding in the stomach, upper intestines, colon, or pelvic organs.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""IDA"", ""full_form"": ""Iron-Deficiency Anemia""}]}",How to diagnose IDA ?,How to diagnose Iron-Deficiency Anemia ?
inheritance,Is idiopathic pulmonary fibrosis inherited ?,"Most cases of idiopathic pulmonary fibrosis are sporadic; they occur in people with no history of the disorder in their family.  Familial pulmonary fibrosis appears to have an autosomal dominant pattern of inheritance. Autosomal dominant inheritance means one copy of an altered gene in each cell is sufficient to cause the disorder. However, some people who inherit the altered gene never develop features of familial pulmonary fibrosis. (This situation is known as reduced penetrance.) It is unclear why some people with a mutated gene develop the disease and other people with the mutated gene do not.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""IPF"", ""full_form"": ""idiopathic pulmonary fibrosis""}]}",Is IPF inherited ?,Is idiopathic pulmonary fibrosis inherited ?
considerations,What to do for Renal Artery Stenosis ?,"Limiting intake of fats, cholesterol, sodium, and sugar can help prevent atherosclerosis, which can lead to RAS. Most sodium in the diet comes from salt. A healthy diet that prevents people from becoming overweight or obese can also help prevent atherosclerosis. People with RAS that has caused decreased kidney function should limit their intake of protein, cholesterol, sodium, and potassium to slow the progression of kidney failure. More information about nutrition for CKD is provided in the NIDDK health topics, Nutrition for Early Chronic Kidney Disease in Adults and Nutrition for Advanced Chronic Kidney Disease in Adults. People should talk with their health care provider about what diet is right for them.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""RAS"", ""full_form"": ""Renal Artery Stenosis""}]}",What to do for RAS ?,What to do for Renal Artery Stenosis ?
inheritance,Is X-linked juvenile retinoschisis inherited ?,"This condition is inherited in an X-linked recessive pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation would have to occur in both copies of the gene to cause the disorder. Because it is unlikely that females will have two altered copies of this gene, males are affected by X-linked recessive disorders much more frequently than females. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""XLRS"", ""full_form"": ""X-linked juvenile retinoschisis""}]}",Is XLRS inherited ?,Is X-linked juvenile retinoschisis inherited ?
frequency,How many people are affected by isolated growth hormone deficiency ?,"The incidence of isolated growth hormone deficiency is estimated to be 1 in 4,000 to 10,000 individuals worldwide.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""IGHD"", ""full_form"": ""isolated growth hormone deficiency""}]}",How many people are affected by IGHD ?,How many people are affected by isolated growth hormone deficiency ?
causes,What causes Blue rubber bleb nevus syndrome ?,What causes blue rubber bleb nevus syndrome? Currently the cause of blue rubber bleb syndrome is not known.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BRBNS"", ""full_form"": ""Blue rubber bleb nevus syndrome""}]}",What causes BRBNS ?,What causes Blue rubber bleb nevus syndrome ?
information,Do you have information about B Vitamins,"Summary : The B vitamins are       - B1 (thiamine)    - B2 (riboflavin)    - B3 (niacin)    - B5 (pantothenic acid)    - B6    -  B7 (biotin)    - B12    - Folic acid       These vitamins help the process your body uses to get or make energy from the food you eat. They also help form red blood cells. You can get B vitamins from proteins such as fish, poultry, meat, eggs, and dairy products. Leafy green vegetables, beans, and peas also have B vitamins. Many cereals and some breads have added B vitamins.    Not getting enough of certain B vitamins can cause diseases. A lack of B12 or B6 can cause anemia.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""B"", ""full_form"": ""B Vitamins""}]}",Do you have information about B,Do you have information about B Vitamins
information,What is (are) mitochondrial membrane protein-associated neurodegeneration ?,"Mitochondrial membrane protein-associated neurodegeneration (MPAN) is a disorder of the nervous system. The condition typically begins in childhood or early adulthood and worsens (progresses) over time.  MPAN commonly begins with difficulty walking. As the condition progresses, affected individuals usually develop other movement problems, including muscle stiffness (spasticity) and involuntary muscle cramping (dystonia). Many people with MPAN have a pattern of movement abnormalities known as parkinsonism. These abnormalities include unusually slow movement (bradykinesia), muscle rigidity, involuntary trembling (tremors), and an inability to hold the body upright and balanced (postural instability).  Other neurological problems that occur in individuals with MPAN include degeneration of the nerve cells that carry visual information from the eyes to the brain (optic atrophy), which can impair vision; problems with speech (dysarthria); difficulty swallowing (dysphagia); and, in later stages of the condition, an inability to control the bowels or the flow of urine (incontinence). Additionally, affected individuals may experience a loss of intellectual function (dementia) and psychiatric symptoms such as behavioral problems, mood swings, hyperactivity, and depression.  MPAN is characterized by an abnormal buildup of iron in certain regions of the brain. Because of these deposits, MPAN is considered part of a group of conditions known as neurodegeneration with brain iron accumulation (NBIA).","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MPAN"", ""full_form"": ""mitochondrial membrane protein-associated neurodegeneration""}]}",What is (are) MPAN ?,What is (are) mitochondrial membrane protein-associated neurodegeneration ?
causes,What causes Dermatitis Herpetiformis: Skin Manifestation of Celiac Disease (For Health Care Professionals) ?,"Dermatitis herpetiformis is caused by the deposit of immunoglobulin A (IgA) in the skin, which triggers further immunologic reactions resulting in lesion formation. DH is an external manifestation of an abnormal immune response to gluten, in which IgA antibodies form against the skin antigen epidermal transglutaminase.
                
Family studies show that 5 percent of first-degree relatives of a person with DH will also have DH. An additional 5 percent of first-degree relatives of a person with DH will have celiac disease.4 Various other autoimmune diseases are associated with DH, the most common being hypothyroidism.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""DH"", ""full_form"": ""Dermatitis Herpetiformis""}, {""ambiguity_type"": ""full_form"", ""abbreviation"": ""CD"", ""full_form"": ""Celiac Disease""}]}",What causes DH: Skin Manifestation of CD (For Health Care Professionals) ?,What causes Dermatitis Herpetiformis: Skin Manifestation of Celiac Disease (For Health Care Professionals) ?
treatment,What are the treatments for Central Cord Syndrome ?,"There is no cure for central cord syndrome although some people recover near-normal function. There is no standard course of treatment, although drug therapy, surgery, and rest are often part of the program. Magnetic resonance imaging (MRI) is used to indicate the degree of spinal cord compression and vertebral instability. Vertebral instability due to acute traumatic injury or cervical disc herniation is often treated by surgery to prevent further damage to the spinal cord. Recent reports indicate that earlier surgery may improve chances for recovery. Numerous recent studies suggest that surgery also can be beneficial in individuals with persistent compression of the spinal cord and ongoing neurological deterioration.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CCS"", ""full_form"": ""Central Cord Syndrome""}]}",What are the treatments for CCS ?,What are the treatments for Central Cord Syndrome ?
information,What is (are) Hemophagocytic lymphohistiocytosis ?,"Hemophagocytic lymphohistiocytosis (HLH) is a condition in which the body makes too many activated immune cells (macrophages and lymphocytes). People with HLH usually develop symptoms within the first months or years of life which may include fever, enlarged liver or spleen, cytopenia (lower-than-normal number of blood cells), and neurological abnormalities. HLH may be inherited in an autosomal recessive manner or it can have non-genetic causes in which case it is called acquired HLH. There are five subtypes of inherited HLH which are designated familial HLH, types 1-5. Each subtype is caused by a change (mutation) in a different gene. The genetic cause of type 1 is currently unknown. Types 2-5 are caused by mutations in the PRF1 gene, the UNC13D gene, the STX11 gene and the STXBP2 gene, respectively. Treatment depends on a number of factors, including the severity of symptoms, the age of onset, and the underlying cause of the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HLH"", ""full_form"": ""Hemophagocytic lymphohistiocytosis""}]}",What is (are) HLH ?,What is (are) Hemophagocytic lymphohistiocytosis ?
symptoms,What are the symptoms of Growth hormone insensitivity with immunodeficiency ?,"What are the signs and symptoms of Growth hormone insensitivity with immunodeficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for Growth hormone insensitivity with immunodeficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal facial shape 90% Abnormality of lipid metabolism 90% Insulin resistance 90% Microcephaly 90% Short stature 90% Delayed eruption of teeth 50% Delayed skeletal maturation 50% Fine hair 50% Hypoglycemia 50% Hypoplasia of penis 50% Type II diabetes mellitus 50% Abnormality of immune system physiology 7.5% Abnormality of the fontanelles or cranial sutures 7.5% Abnormality of the nail 7.5% Abnormality of the voice 7.5% Cognitive impairment 7.5% Diabetes insipidus 7.5% Hearing impairment 7.5% Truncal obesity 7.5% Growth hormone deficiency - Respiratory difficulties - Severe short stature - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""GHI"", ""full_form"": ""Growth hormone insensitivity""}]}",What are the symptoms of GHI with immunodeficiency ?,What are the symptoms of Growth hormone insensitivity with immunodeficiency ?
