qtype,question,answer,ambiguous_question,unambiguous_question,domain_idx,intent,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_raw_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_raw_question_answered_by_gpt35,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35,RAW_NO_INTENT_analyzed_question_answered_by_gpt35_correct,RAW_NO_INTENT_raw_question_answered_by_gpt35_correct,RAW_NO_INTENT_raw_question_answered_by_gpt35,RAW_NO_INTENT_analyzed_question_answered_by_gpt35,RAW_ALL_analyzed_question_answered_by_gpt35_correct,RAW_ALL_raw_question_answered_by_gpt35_correct,RAW_ALL_raw_question_answered_by_gpt35,RAW_ALL_analyzed_question_answered_by_gpt35
outlook,What is the outlook for Megalencephaly ?,The prognosis for infants and children with megalencephaly depends upon the underlying cause and the associated neurological disorders. The prognosis for children with hemimegalencephaly is poor.,What is the outlook for Megalencephaly ?,What is the outlook for Megalencephaly ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,Megalencephaly outlook varies depending on the underlying cause and severity of symptoms.,"Megalencephaly is a condition characterized by the abnormal growth of the brain, leading to an enlarged head. The outlook for individuals with megalencephaly varies depending on the underlying cause and associated symptoms. Treatment may involve managing symptoms and addressing any underlying conditions.",True,True,The outlook for Megalencephaly varies depending on the underlying cause and severity of symptoms. It is important for individuals with Megalencephaly to work closely with healthcare providers to manage symptoms and receive appropriate treatment.,The outlook for Megalencephaly varies depending on the underlying cause and severity of symptoms.,True,True,The outlook for Megalencephaly varies depending on the underlying cause and severity of symptoms. It is important to consult with a healthcare provider for personalized information and treatment options.,"The outlook for Megalencephaly varies depending on the underlying cause. In some cases, individuals may have normal development and function, while in other cases, there may be developmental delays or neurological complications."
information,What is (are) Andersen-Tawil syndrome ?,"Andersen-Tawil syndrome is a type of long QT syndrome and is also considered a rare form of periodic paralysis. It causes episodes of muscle weakness, changes in heart rhythm (arrhythmia), and developmental abnormalities. Physical abnormalities associated with this condition typically affect the head, face, and limbs. About 60% of cases of Andersen-Tawil syndrome are caused by mutations in the KCNJ2 gene. The cause of the remaining cases remains unknown. This condition is inherited in an autosomal dominant pattern.",What is (are) Andersen-Tawil syndrome ?,What is (are) Andersen-Tawil syndrome ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Andersen-Tawil syndrome is a rare genetic disorder characterized by periodic paralysis, cardiac arrhythmias, and distinctive physical features.","Andersen-Tawil syndrome is a rare genetic disorder characterized by episodes of muscle weakness, abnormal heart rhythms, and distinctive facial features.",True,True,"Andersen-Tawil syndrome is a rare genetic disorder characterized by periodic paralysis, cardiac arrhythmias, and distinctive physical features.","Andersen-Tawil syndrome is a rare genetic disorder characterized by periodic paralysis, cardiac arrhythmias, and distinctive physical features.",True,True,"Andersen-Tawil syndrome is a rare genetic disorder characterized by periodic paralysis, cardiac arrhythmias, and distinctive physical features.","Andersen-Tawil syndrome is a rare genetic disorder characterized by a combination of cardiac arrhythmias, periodic paralysis, and distinctive physical features."
inheritance,Is juvenile primary lateral sclerosis inherited ?,"When caused by mutations in the ALS2 gene, juvenile primary lateral sclerosis is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",Is juvenile primary lateral sclerosis inherited ?,Is juvenile primary lateral sclerosis inherited ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",False,False,"Juvenile primary lateral sclerosis is not inherited, as it is considered a sporadic condition with no known genetic cause.","Juvenile primary lateral sclerosis is not typically inherited, as it is considered a sporadic condition with no clear genetic cause.",True,False,"Juvenile primary lateral sclerosis is not inherited, it is considered a sporadic condition.",Juvenile primary lateral sclerosis can be inherited in an autosomal recessive manner.,False,True,Juvenile primary lateral sclerosis can be inherited in an autosomal recessive manner.,"Juvenile primary lateral sclerosis is not inherited, it is a rare progressive neurological disorder that affects the upper motor neurons in the brain and spinal cord."
treatment,What are the treatments for Childhood Brain and Spinal Cord Tumors ?,"Key Points
                    - There are different types of treatment for children with brain and spinal cord tumors.     - Children with brain or spinal cord tumors should have their treatment planned by a team of health care providers who are experts in treating childhood brain and spinal cord tumors.    - Childhood brain and spinal cord tumors may cause signs or symptoms that begin before the cancer is diagnosed and continue for months or years.    - Some cancer treatments cause side effects months or years after treatment has ended.    - Three types of standard treatment are used:          - Surgery      - Radiation therapy      - Chemotherapy         - New types of treatment are being tested in clinical trials.         - High-dose chemotherapy with stem cell transplant        - Patients may want to think about taking part in a clinical trial.    - Patients can enter clinical trials before, during, or after starting their cancer treatment.    - Follow-up tests may be needed.
                
                
                    There are different types of treatment for children with brain and spinal cord tumors.
                    Different types of treatment are available for children with brain and spinal cord tumors. Some treatments are standard (the currently used treatment), and some are being tested in clinical trials. A treatment clinical trial is a research study meant to help improve current treatments or obtain information on new treatments for patients with cancer. When clinical trials show that a new treatment is better than the standard treatment, the new treatment may become the standard treatment.   Because cancer in children is rare, taking part in a clinical trial should be considered. Clinical trials are taking place in many parts of the country. Some clinical trials are open only to patients who have not started treatment.
                
                
                    Children with brain or spinal cord tumors should have their treatment planned by a team of health care providers who are experts in treating childhood brain and spinal cord tumors.
                    Treatment will be overseen by a pediatric oncologist, a doctor who specializes in treating children with cancer. The pediatric oncologist works with other health care providers who are experts in treating children with brain tumors and who specialize in certain areas of medicine. These may include the following specialists:         -  Pediatrician.    -  Neurosurgeon.    -  Neurologist.    -  Neuro-oncologist.    -  Neuropathologist.    -  Neuroradiologist.    -  Radiation oncologist.    -  Endocrinologist.    -  Psychologist.    -  Ophthalmologist.    -  Rehabilitation specialist.    -  Social worker.    -  Nurse specialist.
                
                
                    Childhood brain and spinal cord tumors may cause signs or symptoms that begin before the cancer is diagnosed and continue for months or years.
                    Childhood brain and spinal cord tumors may cause signs or symptoms that continue for months or years. Signs or symptoms caused by the tumor may begin before diagnosis. Signs or symptoms caused by treatment may begin during or right after treatment.
                
                
                    Some cancer treatments cause side effects months or years after treatment has ended.
                    These are called late effects. Late effects of cancer treatment may include the following:         - Physical problems.    - Changes in mood, feelings, thinking, learning, or memory.    -  Second cancers (new types of cancer).         Some late effects may be treated or controlled. It is important to talk with your child's doctors about the effects cancer treatment can have on your child. (See the PDQ summary on Late Effects of Treatment for Childhood Cancer for more information).
                
                
                    Three types of standard treatment are used:
                    Surgery      Surgery may be used to diagnose and treat childhood brain and spinal cord tumors. See the General Information section of this summary.        Radiation therapy      Radiation therapy is a cancer treatment that uses high-energy x-rays or other types of radiation to kill cancer cells or keep them from growing. There are two types of radiation therapy:             -  External radiation therapy uses a machine outside the body to send radiation toward the cancer.      -  Internal radiation therapy uses a radioactive substance sealed in needles, seeds, wires, or catheters that are placed directly into or near the cancer.           The way the radiation therapy is given depends on the type of cancer being treated. External radiation therapy is used to treat childhood brain and spinal cord tumors.       Chemotherapy      Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. When chemotherapy is taken by mouth or injected into a vein or muscle, the drugs enter the bloodstream and can reach cancer cells throughout the body (systemic chemotherapy). When chemotherapy is placed directly in the cerebrospinal fluid, an organ, or a body cavity such as the abdomen, the drugs mainly affect cancer cells in those areas (regional chemotherapy). The way the chemotherapy is given depends on the type and stage of the cancer being treated.    Anticancer drugs given by mouth or vein to treat brain and spinal cord tumors cannot cross the blood-brain barrier and enter the fluid that surrounds the brain and spinal cord. Instead, an anticancer drug is injected into the fluid-filled space to kill cancer cells there. This is called intrathecal chemotherapy.
                
                
                    New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     High-dose chemotherapy with stem cell transplant     High-dose chemotherapy with stem cell transplant is a way of giving high doses of chemotherapy and replacing blood -forming cells destroyed by the cancer treatment. Stem cells (immature blood cells) are removed from the blood or bone marrow of the patient or a donor and are frozen and stored. After the chemotherapy is completed, the stored stem cells are thawed and given back to the patient through an infusion. These reinfused stem cells grow into (and restore) the bodys blood cells.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.    Clinical trials are taking place in many parts of the country. Information about clinical trials is available from the NCI website.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your child's condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.",What are the treatments for Childhood Brain and Spinal Cord Tumors ?,What are the treatments for Childhood Brain and Spinal Cord Tumors ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"The treatments for Childhood Brain and Spinal Cord Tumors include surgery, radiation therapy, chemotherapy, targeted therapy, and stem cell transplant.","The treatments for Childhood Brain and Spinal Cord Tumors include surgery, radiation therapy, chemotherapy, targeted therapy, and stem cell transplant.",True,True,"The treatments for Childhood Brain and Spinal Cord Tumors may include surgery, radiation therapy, chemotherapy, targeted therapy, and stem cell transplant.","Treatment for Childhood Brain and Spinal Cord Tumors may include surgery, radiation therapy, chemotherapy, targeted therapy, and stem cell transplant.",True,True,"The treatments for Childhood Brain and Spinal Cord Tumors include surgery, radiation therapy, chemotherapy, targeted therapy, and stem cell transplant.","The treatments for Childhood Brain and Spinal Cord Tumors may include surgery, radiation therapy, chemotherapy, targeted therapy, and stem cell transplant."
symptoms,What are the symptoms of Prevent diabetes problems: Keep your eyes healthy ?,"Often, no symptoms appear during the early stages of diabetes retina problems. As retina problems worsen, your symptoms might include
                
- blurry or double vision  - rings, flashing lights, or blank spots in your vision  - dark or floating spots in your vision  - pain or pressure in one or both of your eyes  - trouble seeing things out of the corners of your eyes",What are the symptoms of Prevent diabetes problems: Keep your eyes healthy ?,What are the symptoms of Prevent diabetes problems: Keep your eyes healthy ?,8,"Instructional: Queries specifically seeking step-by-step guidance, instructions, or procedures to perform a task. it focuses on 'how' to do something rather than 'what', 'why', or 'which'.",False,True,"Blurry vision, floaters, difficulty seeing at night","Regularly check your blood sugar levels, maintain a healthy diet, exercise regularly, and get regular eye exams to prevent diabetes-related eye problems.",True,True,"Blurry vision, floaters, difficulty seeing at night, and changes in vision are some symptoms of diabetes affecting the eyes.","Blurry vision, floaters, eye pain, and difficulty seeing at night are some symptoms of diabetes-related eye problems.",True,True,"Blurry vision, floaters, difficulty seeing at night","Some symptoms of diabetes-related eye problems include blurred vision, floaters, and difficulty seeing at night. It is important to have regular eye exams to monitor for any changes in vision."
information,What is (are) 2-methylbutyryl-CoA dehydrogenase deficiency ?,"2-methylbutyryl-CoA dehydrogenase deficiency is a type of organic acid disorder in which the body is unable to process proteins properly. Organic acid disorders lead to an abnormal buildup of particular acids known as organic acids. Abnormal levels of organic acids in the blood (organic acidemia), urine (organic aciduria), and tissues can be toxic and can cause serious health problems.  Normally, the body breaks down proteins from food into smaller parts called amino acids. Amino acids can be further processed to provide energy for growth and development. People with 2-methylbutyryl-CoA dehydrogenase deficiency have inadequate levels of an enzyme that helps process a particular amino acid called isoleucine.  Health problems related to 2-methylbutyryl-CoA dehydrogenase deficiency vary widely from severe and life-threatening to mild or absent. Signs and symptoms of this disorder can begin a few days after birth or later in childhood. The initial symptoms often include poor feeding, lack of energy (lethargy), vomiting, and an irritable mood. These symptoms sometimes progress to serious medical problems such as difficulty breathing, seizures, and coma. Additional problems can include poor growth, vision problems, learning disabilities, muscle weakness, and delays in motor skills such as standing and walking.  Symptoms of 2-methylbutyryl-CoA dehydrogenase deficiency may be triggered by prolonged periods without food (fasting), infections, or eating an increased amount of protein-rich foods. Some people with this disorder never have any signs or symptoms (asymptomatic). For example, individuals of Hmong ancestry identified with 2-methylbutyryl-CoA dehydrogenase deficiency through newborn screening are usually asymptomatic.",What is (are) 2-methylbutyryl-CoA dehydrogenase deficiency ?,What is (are) 2-methylbutyryl-CoA dehydrogenase deficiency ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,2-methylbutyryl-CoA dehydrogenase deficiency is a rare genetic disorder that affects the body's ability to break down the amino acid isoleucine.,2-methylbutyryl-CoA dehydrogenase deficiency is a rare genetic disorder that affects the body's ability to break down certain proteins. It is classified as an organic acid disorder.,True,True,2-methylbutyryl-CoA dehydrogenase deficiency is a rare genetic disorder that affects the body's ability to break down certain proteins.,2-methylbutyryl-CoA dehydrogenase deficiency is a rare genetic disorder that affects the body's ability to break down certain proteins.,True,True,2-methylbutyryl-CoA dehydrogenase deficiency is a rare genetic disorder that affects the breakdown of proteins in the body. It is classified as an organic acid disorder.,"2-methylbutyryl-CoA dehydrogenase deficiency is a rare genetic disorder that affects the body's ability to break down certain proteins. It is classified as an organic acid disorder and can lead to a variety of symptoms including developmental delays, seizures, and metabolic crises."
information,What is (are) Breast Diseases ?,"Most women experience breast changes at some time. Your age, hormone levels, and medicines you take may cause lumps, bumps, and discharges (fluids that are not breast milk).    If you have a breast lump, pain, discharge or skin irritation, see your health care provider. Minor and serious breast problems have similar symptoms. Although many women fear cancer, most breast problems are not cancer.    Some common breast changes are       - Fibrocystic breast changes - lumpiness, thickening and swelling, often just before a woman's period    - Cysts - fluid-filled lumps    - Fibroadenomas - solid, round, rubbery lumps that move easily when pushed, occurring most in younger women    - Intraductal papillomas - growths similar to warts near the nipple    - Blocked milk ducts    - Milk production when a woman is not breastfeeding       NIH: National Cancer Institute",What is (are) Breast Diseases ?,What is (are) Breast Diseases ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Breast diseases refer to medical conditions that affect the breast tissue, such as breast cancer, fibroadenomas, mastitis, and breast cysts.","Breast diseases refer to medical conditions that affect the breast tissue, such as breast cancer, fibroadenomas, mastitis, and breast cysts.",True,True,"Breast diseases refer to medical conditions that affect the breast tissue, such as breast cancer, fibrocystic breast changes, and mastitis.","Breast diseases refer to any medical condition affecting the breast tissue, including breast cancer, fibroadenomas, mastitis, and breast cysts.",True,True,"Breast diseases refer to medical conditions that affect the breast tissue, such as breast cancer, fibroadenomas, mastitis, and cysts.","Breast diseases refer to any condition that affects the breast tissue, such as breast cancer, fibrocystic breast changes, mastitis, and benign breast lumps."
symptoms,What are the symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy ?,"What are the signs and symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy? The Human Phenotype Ontology provides the following list of signs and symptoms for Spinocerebellar ataxia autosomal recessive with axonal neuropathy. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Ataxia - Autosomal recessive inheritance - Distal amyotrophy - Peripheral axonal neuropathy - Pes cavus - Steppage gait - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",What are the symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy ?,What are the symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy include progressive gait ataxia, dysarthria, limb ataxia, and sensory neuropathy.","Symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy include unsteady gait, muscle weakness, loss of sensation in the extremities, and difficulty with coordination.",True,True,"Symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy include progressive gait and limb ataxia, dysarthria, muscle weakness, and sensory loss.","Symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy include gait ataxia, dysarthria, limb ataxia, and sensory neuropathy.",True,True,"Symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy include progressive ataxia, muscle weakness, sensory loss, and neuropathy.","Symptoms of Spinocerebellar ataxia autosomal recessive with axonal neuropathy include difficulty walking, loss of coordination, muscle weakness, and peripheral neuropathy."
inheritance,Is progressive pseudorheumatoid dysplasia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",Is progressive pseudorheumatoid dysplasia inherited ?,Is progressive pseudorheumatoid dysplasia inherited ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Yes, progressive pseudorheumatoid dysplasia is inherited in an autosomal recessive manner.","Yes, progressive pseudorheumatoid dysplasia is inherited in an autosomal recessive manner.",True,True,"Yes, progressive pseudorheumatoid dysplasia is inherited in an autosomal recessive manner.","Yes, progressive pseudorheumatoid dysplasia is inherited in an autosomal recessive pattern.",True,True,"Yes, progressive pseudorheumatoid dysplasia is inherited in an autosomal recessive manner.","Yes, progressive pseudorheumatoid dysplasia is inherited in an autosomal recessive manner."
prevention,How to prevent Short Bowel Syndrome ?,"People can ask their health care providers about surgical techniques that minimize scar tissue. Scientists have not yet found a way to prevent short bowel syndrome that is present at birth, as its cause is unknown.",How to prevent Short Bowel Syndrome ?,How to prevent Short Bowel Syndrome ?,8,"Instructional: Queries specifically seeking step-by-step guidance, instructions, or procedures to perform a task. it focuses on 'how' to do something rather than 'what', 'why', or 'which'.",True,True,"Preventing Short Bowel Syndrome involves early detection and treatment of conditions that can lead to the syndrome, such as Crohn's disease or surgical removal of a portion of the small intestine. Maintaining a healthy diet, including proper nutrition and hydration, is also important in preventing Short Bowel Syndrome.","Preventing Short Bowel Syndrome involves proper management of the underlying causes, such as avoiding bowel surgeries when possible, maintaining a healthy diet with adequate nutrients, and working closely with healthcare providers for monitoring and treatment.",True,True,"Preventing Short Bowel Syndrome involves early diagnosis and treatment of conditions that can lead to the syndrome, such as Crohn's disease, avoiding unnecessary bowel surgery, and following a healthy diet plan recommended by a healthcare provider.","Preventing Short Bowel Syndrome involves early detection and treatment of conditions that can lead to the syndrome, such as Crohn's disease or surgical removal of a portion of the small intestine. Maintaining a healthy diet, including proper nutrition and hydration, is also important in preventing Short Bowel Syndrome.",True,True,"Preventing Short Bowel Syndrome involves early detection and treatment of conditions that can lead to the syndrome, such as Crohn's disease or surgical removal of a large portion of the small intestine. Maintaining a healthy diet, including proper hydration and nutrition, is also important in preventing Short Bowel Syndrome.","Preventing Short Bowel Syndrome involves early treatment of conditions that can lead to it, such as Crohn's disease, avoiding bowel surgery if possible, and following a specialized diet plan recommended by a healthcare provider."
exams and tests,How to diagnose Dwarfism ?,"How is dwarfism diagnosed? Some types of dwarfism can be identified through prenatal testing if a doctor suspects a particular condition and tests for it. However, most cases are not identified until after the child is born. In those instances, the doctor makes a diagnosis based on the child's appearance, failure to grow, and X-rays of the bones. Depending on the type of dwarfism the child has, diagnosis often can be made almost immediately after birth. Once a diagnosis is made, there is no ""treatment"" for most of the conditions that lead to short stature. Hormonal or metabolic problems may be treated with hormone injections or special diets to spark a child's growth, but skeletal dysplasias cannot be ""cured."" Individuals who are interested in learning whether they or family members have, or are at risk for, dwarfism should speak with their health care provider or a genetics professional.",How to diagnose Dwarfism ?,How to diagnose Dwarfism ?,8,"Instructional: Queries specifically seeking step-by-step guidance, instructions, or procedures to perform a task. it focuses on 'how' to do something rather than 'what', 'why', or 'which'.",True,True,"Diagnosing dwarfism typically involves physical exams, medical history review, genetic testing, hormone level tests, and imaging studies.","Diagnosing Dwarfism involves physical examination, medical history review, growth chart analysis, blood tests, genetic testing, and imaging studies.",True,True,"Diagnosing dwarfism involves physical exams, medical history review, genetic testing, hormone tests, and imaging tests.","Diagnosing Dwarfism involves physical examination, growth charts comparison, blood tests, genetic testing, and imaging studies.",True,True,"Diagnosing dwarfism involves physical examination, medical history review, genetic testing, hormone level testing, and imaging tests such as X-rays.","Diagnosing Dwarfism involves physical exams, growth charts analysis, blood tests, genetic testing, and imaging studies like X-rays."
genetic changes,What are the genetic changes related to methylmalonic acidemia with homocystinuria ?,"Methylmalonic acidemia with homocystinuria can be caused by mutations in one of several genes: MMACHC, MMADHC, LMBRD1, ABCD4, or HCFC1. Mutations in these genes account for the different types of the disorder, which are known as complementation groups: cblC, cblD, cblF, cblJ, and cblX, respectively.  Each of the above-mentioned genes is involved in the processing of vitamin B12, also known as cobalamin or Cbl. Processing of the vitamin converts it to one of two molecules, adenosylcobalamin (AdoCbl) or methylcobalamin (MeCbl). AdoCbl is required for the normal function of an enzyme that helps break down certain amino acids, lipids, and cholesterol. AdoCbl is called a cofactor because it helps the enzyme carry out its function. MeCbl is also a cofactor, but for another enzyme that converts the amino acid homocysteine to another amino acid, methionine. The body uses methionine to make proteins and other important compounds.  Mutations in the MMACHC, MMADHC, LMBRD1, ABCD4, or HCFC1 gene affect early steps of vitamin B12 processing, resulting in a shortage of both AdoCbl and MeCbl. Without AdoCbl, proteins and lipids are not broken down properly. This defect allows potentially toxic compounds to build up in the body's organs and tissues, causing methylmalonic acidemia. Without MeCbl, homocysteine is not converted to methionine. As a result, homocysteine builds up in the bloodstream and methionine is depleted. Some of the excess homocysteine is excreted in urine (homocystinuria). Researchers have not determined how altered levels of homocysteine and methionine lead to the health problems associated with homocystinuria.  Mutations in other genes involved in vitamin B12 processing can cause related conditions. Those mutations that impair only AdoCbl production lead to methylmalonic acidemia, and those that impair only MeCbl production cause homocystinuria.",What are the genetic changes related to methylmalonic acidemia with homocystinuria ?,What are the genetic changes related to methylmalonic acidemia with homocystinuria ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,Genetic changes related to methylmalonic acidemia with homocystinuria include mutations in the MMACHC gene.,Genetic changes related to methylmalonic acidemia with homocystinuria include mutations in the MMACHC gene.,True,False,"Genetic changes related to methylmalonic acidemia with homocystinuria include mutations in the MMACHC, MMADHC, and MTRR genes.",Genetic changes related to methylmalonic acidemia with homocystinuria include mutations in the MMACHC gene.,True,True,Genetic changes related to methylmalonic acidemia with homocystinuria include mutations in the MMACHC gene.,Genetic changes related to methylmalonic acidemia with homocystinuria include mutations in the MMACHC gene.
information,What is (are) Diverticular Disease ?,"When a person has diverticula that do not cause diverticulitis or diverticular bleeding, the condition is called diverticulosis. Most people with diverticulosis do not have symptoms. Some people with diverticulosis have constipation or diarrhea. People may also have chronic
                
- cramping or pain in the lower abdomenthe area between the chest and hips  - bloating
                
Other conditions, such as irritable bowel syndrome and stomach ulcers, cause similar problems, so these symptoms do not always mean a person has diverticulosis. People with these symptoms should see their health care provider.",What is (are) Diverticular Disease ?,What is (are) Diverticular Disease ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Diverticular disease is a condition where small pouches, called diverticula, form in the walls of the colon. These pouches can become inflamed or infected, leading to symptoms such as abdominal pain, bloating, and changes in bowel habits.","Diverticular disease is a condition where small pouches, called diverticula, form in the walls of the colon. These pouches can become inflamed or infected, leading to symptoms such as abdominal pain, bloating, and changes in bowel habits.",True,True,"Diverticular disease is a condition where small pouches, called diverticula, form in the walls of the colon. When these pouches become inflamed or infected, it is known as diverticulitis.","Diverticular disease is a condition where small pouches, called diverticula, form in the walls of the colon. It can lead to symptoms such as abdominal pain, bloating, and changes in bowel habits.",True,True,"Diverticular disease is a condition where small pouches, called diverticula, form in the walls of the colon. These pouches can become inflamed or infected, leading to symptoms such as abdominal pain, bloating, and changes in bowel habits.","Diverticular disease is a condition where small pouches, called diverticula, form in the walls of the colon. These pouches can become inflamed or infected, leading to symptoms such as abdominal pain, bloating, and changes in bowel habits."
symptoms,What are the symptoms of Dermochondrocorneal dystrophy of Franois ?,"What are the signs and symptoms of Dermochondrocorneal dystrophy of Franois? The Human Phenotype Ontology provides the following list of signs and symptoms for Dermochondrocorneal dystrophy of Franois. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the hand - Anterior cortical cataract - Autosomal recessive inheritance - Corneal dystrophy - Gingival overgrowth - Irregular tarsal ossification - Skin nodule - Subepithelial corneal opacities - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",What are the symptoms of Dermochondrocorneal dystrophy of Franois ?,What are the symptoms of Dermochondrocorneal dystrophy of Franois ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",False,False,"Symptoms of Dermochondrocorneal dystrophy of Franois include corneal clouding, skeletal abnormalities, and joint stiffness.","Symptoms of Dermochondrocorneal dystrophy of Franois include corneal clouding, skeletal abnormalities, and joint stiffness.",False,False,"Symptoms of Dermochondrocorneal dystrophy of Franois include corneal clouding, skeletal abnormalities, and joint stiffness.","Cloudy corneas, skin abnormalities, and joint pain",False,False,"Symptoms of Dermochondrocorneal dystrophy of Franois include corneal clouding, thinning of the cornea, and vision impairment.","Symptoms of Dermochondrocorneal dystrophy of Franois include clouding of the cornea, thinning of the cornea, and skin abnormalities such as dryness and scaling."
inheritance,Is Kufs disease inherited ?,"Kufs disease type A, caused by mutations in the CLN6 or PPT1 gene, has an autosomal recessive pattern of inheritance. Autosomal recessive inheritance means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.  Kufs disease type B, caused by mutations in the DNAJC5 or CTSF gene, has an autosomal dominant pattern of inheritance. Autosomal dominant inheritance means one copy of the altered gene in each cell is sufficient to cause the disorder. Most cases of Kufs disease type B occur in people with no history of the disorder in their family.",Is Kufs disease inherited ?,Is Kufs disease inherited ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Yes, Kufs disease is inherited.","Yes, Kufs disease is inherited.",True,True,"Yes, Kufs disease is inherited.","Yes, Kufs disease is inherited.",True,True,"Yes, Kufs disease is inherited.","Yes, Kufs disease is inherited. It is an autosomal recessive disorder."
