annotations,id,question
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who narrates the hitchhiker guide to the galaxy film?', 'answer': ['Stephen Fry', 'Fry']}, {'question': 'Who narrates the hitchhiker guide to the galaxy radio series 1-2?', 'answer': ['Peter Jones', 'Jones']}, {'question': 'Who narrates the hitchhiker guide to the galaxy radio series 3-5?', 'answer': ['William Franklyn', 'Franklyn']}, {'question': 'Who narrates the hitchhiker guide to the galaxy radio series 6?', 'answer': ['Lloyd', 'John Llod']}, {'question': 'Who narrates the hitchhiker guide to the galaxy tv series?', 'answer': ['Peter Jones', 'Jones']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Who narrates the hitchhiker guide to the galaxy radio series 1-2?', 'answer': ['Peter Jones', 'Peter Geoffrey Francis Jones']}, {'question': 'Who narrates the hitchhiker guide to the galaxy radio series 3-5?', 'answer': ['William Franklyn', 'William Leo Franklyn']}, {'question': 'Who narrates the hitchhiker guide to the galaxy radio series 6?', 'answer': ['John Lloyd', 'John Hardress Wilfred Lloyd CBE', 'John Hardress Wilfred Lloyd']}, {'question': 'Who narrates the hitchhiker guide to the galaxy TV series?', 'answer': ['Peter Jones', 'Peter Geoffrey Francis Jones']}, {'question': 'Who narrates the hitchhiker guide to the galaxy film?', 'answer': ['Stephen Fry', 'Stephen John Fry']}]}]",4480900736127210739,Who narrates the hitchhiker guide to the galaxy?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When did they start production on the post after screenplay rights were decided?', 'answer': ['October 2016']}, {'question': 'When did they start production on the post with principal photography?', 'answer': ['May 30, 2017']}]}]",-8069899625747978823,When did they start production on the post?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'In what episode number did ernie first appear on my three sons?', 'answer': ['118']}, {'question': 'On what date did ernie first appear on my three sons?', 'answer': ['October 31, 1963']}, {'question': 'In what season did ernie first appear on my three sons?', 'answer': ['Season 4']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'When did Ernie first appear on my three sons (episode number)?', 'answer': ['118']}, {'question': 'When did Ernie first appear on my three sons (date)?', 'answer': ['November 7, 1963', '1963']}, {'question': 'When did Ernie first appear on my three sons (season)?', 'answer': ['Season 4']}]}]",-2495361140136830604,When did ernie first appear on my three sons?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When did the first large california wildfire of 2017 start?', 'answer': ['April 20, 2017']}, {'question': 'When did the October Northern california wildfires of 2017 start?', 'answer': ['October 8, 2017']}, {'question': 'When did the December Southern california wildfires of 2017 start?', 'answer': ['December 4, 2017']}]}]",-5749835086115972830,When did the california wildfires of 2017 start?
"[{'type': 'singleAnswer', 'answer': ['Chandra Wilson']}, {'type': 'singleAnswer', 'answer': ['Wilson', 'Chandra Wilson', 'Chandra Danette Wilson']}]",6683923150105245308,Who plays miranda bailey on grey's anatomy?
"[{'type': 'singleAnswer', 'answer': ['(South Dakota, Nebraska, Wyoming, Colorado, Kansas, Oklahoma, New Mexico, and Texas']}, {'type': 'singleAnswer', 'answer': ['Nebraska', 'Texas', 'Wyoming', 'Colorado', 'New Mexico', 'South Dakota', 'Oklahoma', 'Kansas']}]",-875456847857795224,What states have access to the ogallala aquifer?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When did the South Korean show lie to me end?', 'answer': ['2011-06-28']}, {'question': 'When did the American show lie to me end?', 'answer': ['January 31, 2011']}]}]",-8740256160840936877,When did the show lie to me end?
"[{'type': 'singleAnswer', 'answer': ['Melonie Daniels']}, {'type': 'singleAnswer', 'answer': ['Melonie Daniels']}]",-2658615726272299345,Who sings the theme song for the show half and half?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Where did the singers of peanut butter and jelly time come from?', 'answer': ['Miami, Florida, United States', 'Miami, Florida', 'Miami']}, {'question': 'What band did peanut butter and jelly time come from?', 'answer': ['The Buckwheat Boyz', 'Buckwheat Boyz']}, {'question': 'What video popularized peanut butter and jelly time?', 'answer': ['a Flash-animated music video featuring a dancing banana']}]}]",-3149241670475079084,Where did peanut butter and jelly time come from?
"[{'type': 'singleAnswer', 'answer': ['October 17, 2016']}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'When does jane the virgin season 3 episode 1 start?', 'answer': ['October 17, 2016']}, {'question': 'When does jane the virgin season 3 episode 2 start?', 'answer': ['October 24, 2016']}, {'question': 'When does jane the virgin season 3 episode 3 start?', 'answer': ['October 31, 2016']}, {'question': 'When does jane the virgin season 3 episode 4 start?', 'answer': ['November 7, 2016']}, {'question': 'When does jane the virgin season 3 episode 5 start?', 'answer': ['November 14, 2016']}, {'question': 'When does jane the virgin season 3 episode 6 start?', 'answer': ['November 21, 2016']}, {'question': 'When does jane the virgin season 3 episode 7 start?', 'answer': ['November 28, 2016']}, {'question': 'When does jane the virgin season 3 episode 8 start?', 'answer': ['January 23, 2017']}, {'question': 'When does jane the virgin season 3 episode 9 start?', 'answer': ['January 30, 2017']}, {'question': 'When does jane the virgin season 3 episode 10 start?', 'answer': ['February 6, 2017']}, {'question': 'When does jane the virgin season 3 episode 11 start?', 'answer': ['February 13, 2017']}, {'question': 'When does jane the virgin season 3 episode 12 start?', 'answer': ['February 20, 2017']}, {'question': 'When does jane the virgin season 3 episode 13 start?', 'answer': ['February 27, 2017']}, {'question': 'When does jane the virgin season 3 episode 14 start?', 'answer': ['March 20, 2017']}, {'question': 'When does jane the virgin season 3 episode 15 start?', 'answer': ['March 27, 2017']}, {'question': 'When does jane the virgin season 3 episode 16 start?', 'answer': ['April 24, 2017']}, {'question': 'When does jane the virgin season 3 episode 17 start?', 'answer': ['May 1, 2017']}, {'question': 'When does jane the virgin season 3 episode 18 start?', 'answer': ['May 8, 2017']}, {'question': 'When does jane the virgin season 3 episode 19 start?', 'answer': ['May 15, 2017']}, {'question': 'When does jane the virgin season 3 episode 20 start?', 'answer': ['May 22, 2017']}]}]",4675384647496252641,When does jane the virgin season 3 start?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What is the average age for men to get married in south africa?', 'answer': ['32', '32.0']}, {'question': 'What is the average age for women to get married in south africa?', 'answer': ['29.0', '29']}, {'question': 'What is the average age overall to get married in south africa?', 'answer': ['30.5']}]}]",8068064230768396608,What is the average age to get married in south africa?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who is known as the father of toxicology with Traité des poisons, also called Toxicologie générale?', 'answer': ['Mathieu Orfila']}, {'question': 'Who is known as the father of toxicology with Alle Dinge sind Gift und nichts ist ohne Gift allein die Dosis macht, dass ein Ding kein Gift ist?', 'answer': ['Paracelsus', 'Theophrastus von Hohenheim']}]}]",-6502702531638979425,Who is known as the father of toxicology?
"[{'type': 'singleAnswer', 'answer': ['Jaime Pressly', 'Jaime Elizabeth Pressly']}, {'type': 'singleAnswer', 'answer': ['Jaime Pressly', 'Jaime Elizabeth Pressly']}]",8857960269310476106,Who plays joy from my name is earl?
"[{'type': 'singleAnswer', 'answer': ['1995 film Friday', 'the 1995 film Friday', 'Friday']}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'What film did the term bye felicia come from?', 'answer': ['Friday']}, {'question': 'What country did the term bye felicia come from?', 'answer': ['United States of America', 'America']}]}]",-728189424752983312,Where did the term bye felicia come from?
"[{'type': 'singleAnswer', 'answer': ['medulla oblongata']}]",-5467687260615031996,Where is the cardiac center located in the brain?
"[{'type': 'singleAnswer', 'answer': ['John Cappelletti']}, {'type': 'singleAnswer', 'answer': ['John Cappelletti']}]",-1899175260352809516,Who won the heisman trophy from penn state?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'As of 2017, when was the last time Loyola-Chicago was in the NCAA tournament?', 'answer': ['1985']}, {'question': 'As of 2016, when was the last time Loyola-Chicago was in the NCAA tournament?', 'answer': ['1985']}, {'question': 'As of 2015, when was the last time Loyola-Chicago was in the NCAA tournament?', 'answer': ['1985']}]}]",8215699405948276983,When was the last time loyola-chicago was in the ncaa tournament?
"[{'type': 'singleAnswer', 'answer': ['Tipperary']}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Who won the Senior Hurling Championship all-ireland final in 2016?', 'answer': ['Tipperary']}, {'question': 'Who won the Senior Club Hurling Championship all-ireland final in 2016?', 'answer': ['Na Piarsaigh']}]}]",2625992259242206658,Who won the shc all-ireland final in 2016?
"[{'type': 'singleAnswer', 'answer': ['Chris Young']}, {'type': 'singleAnswer', 'answer': ['Chris Young']}]",4467606192108488415,Who sings the song i'm coming over?
"[{'type': 'singleAnswer', 'answer': ['Prince using the pseudonym ""Christopher""']}, {'type': 'singleAnswer', 'answer': ['Prince Rogers Nelson', 'Prince']}]",-7916425104853010660,Who wrote the song manic monday for the bangles?
"[{'type': 'singleAnswer', 'answer': ['mediocrity of the Cardinals,a then-21-year-old stadium,game attendance to dwindle']}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'What ability caused the st louis cardinals move to arizona?', 'answer': ['overall mediocrity of the Cardinals']}, {'question': 'What physical issue caused the st louis cardinals move to arizona?', 'answer': ['old stadium']}, {'question': 'What fan issue caused the st louis cardinals move to arizona?', 'answer': ['game attendance to dwindle']}]}]",8630912480840635425,Why did the st louis cardinals move to arizona?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'How many seasons of marco polo 2014 series will there be?', 'answer': ['2']}, {'question': 'How many seasons of marco polo 1982 series will there be?', 'answer': ['1']}, {'question': 'How many seasons of marco polo 1964 series will there be?', 'answer': ['1']}]}]",5489717211503600508,How many seasons of marco polo will there be?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When was the song ""Rudolph the Red-nosed Reindeer"" adapted from a story into a song?', 'answer': ['1939']}, {'question': 'When was the ""Rudolph The Red Nosed Reindeer"" song originally recorded?', 'answer': ['June 27, 1949']}, {'question': 'When was ""Rudolph The Red Nosed Reindeer"" first sung?', 'answer': ['November 1949']}]}]",6017191541488869938,When was rudolph the red-nosed reindeer song made?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'In what court did Brown v Board of Education take place?', 'answer': ['U.S. Supreme Court']}, {'question': 'Where did Brown v Board of Education originate?', 'answer': ['Topeka, KS']}]}]",5263116168153377608,Where did the brown v board of education take place?
"[{'type': 'singleAnswer', 'answer': ['Louis Riel']}, {'type': 'singleAnswer', 'answer': ['Louis Riel']}, {'type': 'singleAnswer', 'answer': ['Louis Riel']}]",6175694874504573953,Who led an armed uprising and seized fort garry?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What band sings Biggest part of me?', 'answer': ['Ambrosia']}, {'question': 'Who is the lead vocal in Biggest part of me?', 'answer': ['David Robert Pack', 'Pack', 'David Pack']}]}]",-377045450206612744,Who sings youre the biggest part of me?
"[{'type': 'singleAnswer', 'answer': ['timpani', 'timps']}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'What is a set of kettledrums in an orchestra called in modern English?', 'answer': ['Timpani', 'timps']}, {'question': 'What is a set of kettledrums in an orchestra called in older English texts?', 'answer': ['tympany', 'timpany', 'tympani']}]}]",-3262390042909001900,What is a set of kettledrums in an orchestra called?
"[{'type': 'singleAnswer', 'answer': ['Ozzy Osbourne']}, {'type': 'singleAnswer', 'answer': ['John Michael ""Ozzy"" Osbourne', 'John Michael Osbourne', 'Ozzy Osbourne']}]",-8043715127399539334,Who played harmonica on the wizard black sabbath?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When was America taken off the gold standard, but still allowed foreign governments to trade dollars for gold?', 'answer': ['1933']}, {'question': 'When was america taken off the gold standard and put on the gold exchange standard?', 'answer': ['1944']}, {'question': 'When was America completely taken off the gold standard?', 'answer': ['August 15, 1971']}]}]",-767145782871150761,When was america taken off the gold standard?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who played wicked witch of the west in the 2013 film oz the great and powerful?', 'answer': ['Mila Kunis', 'Milena Markovna ""Mila"" Kunis']}, {'question': 'Who played wicked witch of the west in the 1939 film oz?', 'answer': ['Margaret Hamilton', 'Margaret Brainard Hamilton']}, {'question': 'Who played wicked witch of the west in the the 1995 television special called the wizard of oz in concert: dreams come true?', 'answer': ['Debra Winger']}, {'question': 'Who played wicked witch of the west in the the 2011 television miniseries called Dorothy and the Witches of Oz?', 'answer': ['Eliza Swenson']}]}]",3551793800275335777,Who played wicked witch of the west in oz?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What is the flower of the dead translated in spanish?', 'answer': ['flor de muertos']}, {'question': 'What flower is celebrated as the flower of the dead in Mexico?', 'answer': ['cempasúchil']}]}]",-2046820450216612197,What is the flower of the dead in spanish?
"[{'type': 'singleAnswer', 'answer': ['Nights of Cabiria']}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Nominated in the best foreign film category at the oscars mother india lost to what movie?', 'answer': ['Nights of Cabiria']}, {'question': 'Nominated in the best foreign film category at the oscars mother india lost to what director and filmwriter?', 'answer': ['Federico Fellini']}]}]",8341815299893034731,Nominated in the best foreign film category at the oscars mother india lost to?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who is the player that hit the longest recorded homerun in mlb history?', 'answer': ['Babe Ruth', '""The Sultan of Swat""', '""The Bambino""', 'George Herman ""Babe"" Ruth Jr.']}, {'question': 'Who is the team that hit the longest recorded homerun in mlb history?', 'answer': ['New York Highlanders', 'Baltimore Orioles', 'New York Yankees']}]}, {'type': 'singleAnswer', 'answer': ['Babe Ruth']}]",7687628139095653063,Who hit the longest recorded homerun in mlb history?
"[{'type': 'singleAnswer', 'answer': ['Dev Patel', 'Patel']}, {'type': 'singleAnswer', 'answer': ['Dev Patel']}]",-6614126713819321815,Who plays zuko in the last airbender movie?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'At what address was tears dry on their own filmed?', 'answer': ['1479 S La Cienega Blvd, Los Angeles, CA']}, {'question': 'At what location was Tears dry on their own filmed?', 'answer': ['Grand Motel']}]}, {'type': 'singleAnswer', 'answer': ['Hollywood Blvd', 'Grand Motel at 1479 S La Cienega Blvd, in Los Angeles', 'Los Angeles']}]",-2726754792340160982,Where was tears dry on their own filmed?
"[{'type': 'singleAnswer', 'answer': ['the United States and China']}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Indian has the largest higher education system in the world after which Asian country?', 'answer': ['China']}, {'question': 'Indian has the largest higher education system in the world after which North American country?', 'answer': ['United States']}]}]",2946416303727163823,Indian has the largest higher education system in the world after?
