,qtype,question,valid,answer,possible_ambiguities,ambiguous_question,unambiguous_question,ambiguous_question_answered_by_gpt4,unambiguous_question_answered_by_gpt4,answers,ambiguous_question_answered_correct_by_gpt4,unambiguous_question_answered_correct_by_gpt4
20,susceptibility,Who is at risk for Kyasanur Forest Disease? ?,1,"KFD has historically been limited to the western and central districts of Karnataka State, India. However, in November 2012, samples from humans and monkeys tested positive for KFDV in the southernmost district of the State which neighbors Tamil Nadu State and Kerala State, indicating the possibility of wider distribution of KFDV. Additionally, a virus very similar to KFD virus (Alkhurma hemorrhagic fever virus) has been described in Saudi Arabia. 
                
People with recreational or occupational exposure to rural or outdoor settings (e.g., hunters, herders, forest workers, farmers) within Karnataka State are potentially at risk for infection by contact with infected ticks. Seasonality is another important risk factor as more cases are reported during the dry season, from November through June.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""KFD"", ""full_form"": ""Kyasanur Forest Disease""}]}",Who is at risk for KFD? ?,Who is at risk for Kyasanur Forest Disease? ?,People living or working in forested areas are at risk for Kyasanur Forest Disease (KFD).,People who live or work in forested areas are at risk for Kyasanur Forest Disease.,"['KFD has historically been limited to the western and central districts of Karnataka State, India. However, in November 2012, samples from humans and monkeys tested positive for KFDV in the southernmost district of the State which neighbors Tamil Nadu State and Kerala State, indicating the possibility of wider distribution of KFDV. Additionally, a virus very similar to KFD virus (Alkhurma hemorrhagic fever virus) has been described in Saudi Arabia. \n                \nPeople with recreational or occupational exposure to rural or outdoor settings (e.g., hunters, herders, forest workers, farmers) within Karnataka State are potentially at risk for infection by contact with infected ticks. Seasonality is another important risk factor as more cases are reported during the dry season, from November through June.']",True,True
21,prevention,How to prevent Age-related Macular Degeneration ?,1,"There is no reason for those diagnosed with early stage AMD to take the AREDS formulation. The study did not find that the formulation helped those with early stage AMD. If you have early stage AMD, a comprehensive dilated eye exam every year can help determine if the disease is progressing. If early stage AMD progresses to the intermediate stage, discuss taking the formulation with your doctor.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AMD"", ""full_form"": ""Age-related Macular Degeneration""}]}",How to prevent AMD ?,How to prevent Age-related Macular Degeneration ?,"To prevent Age-related Macular Degeneration (AMD), maintain a healthy diet rich in green leafy vegetables and fish, don't smoke, protect eyes from UV light, exercise regularly, and manage blood pressure and cholesterol levels.","To help prevent Age-related Macular Degeneration (AMD), maintain a healthy diet rich in green, leafy vegetables and fish, don't smoke, exercise regularly, maintain normal blood pressure and cholesterol levels, and protect your eyes from ultraviolet light by wearing sunglasses and hats.","['There is no reason for those diagnosed with early stage AMD to take the AREDS formulation. The study did not find that the formulation helped those with early stage AMD. If you have early stage AMD, a comprehensive dilated eye exam every year can help determine if the disease is progressing. If early stage AMD progresses to the intermediate stage, discuss taking the formulation with your doctor.']",,
22,symptoms,What are the symptoms of CODAS syndrome ?,1,"What are the signs and symptoms of CODAS syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for CODAS syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal form of the vertebral bodies 90% Abnormality of dental enamel 90% Abnormality of dental morphology 90% Abnormality of epiphysis morphology 90% Abnormality of the metacarpal bones 90% Anteverted nares 90% Brachydactyly syndrome 90% Cataract 90% Cognitive impairment 90% Delayed eruption of teeth 90% Delayed skeletal maturation 90% Depressed nasal bridge 90% Epicanthus 90% Malar flattening 90% Midline defect of the nose 90% Overfolded helix 90% Short nose 90% Short stature 90% Abnormality of the hip bone 50% Joint hypermobility 50% Muscular hypotonia 50% Ptosis 50% Scoliosis 50% Sensorineural hearing impairment 50% Abnormality of the upper urinary tract 7.5% Extrahepatic biliary duct atresia 7.5% Nystagmus 7.5% Strabismus 7.5% Ventricular septal defect 7.5% Vocal cord paresis 7.5% Anal atresia 5% Cryptorchidism 5% Omphalocele 5% Proximal placement of thumb 5% Rectovaginal fistula 5% Seizures 5% Atria septal defect - Atrioventricular canal defect - Autosomal recessive inheritance - Broad skull - Congenital cataract - Congenital hip dislocation - Coronal cleft vertebrae - Delayed ossification of carpal bones - Genu valgum - Hypoplasia of dental enamel - Hypoplasia of the corpus callosum - Hypoplasia of the odontoid process - Metaphyseal dysplasia - Polyhydramnios - Short humerus - Short metacarpal - Short phalanx of finger - Squared iliac bones - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""CODAS"", ""full_form"": ""Cerebral, Ocular, Dental, Auricular, Skeletal syndrome""}]}",What are the symptoms of CODAS syndrome ?,"What are the symptoms of Cerebral, Ocular, Dental, Auricular, Skeletal syndrome syndrome ?","Symptoms of CODAS syndrome include cognitive impairment, delayed speech and motor development, distinct facial features, hearing loss, and anomalies of the feet and hands.","Symptoms of Cerebral, Ocular, Dental, Auricular, Skeletal (CODAS) syndrome include developmental delay, intellectual disability, seizures, vision problems, dental anomalies, hearing loss, and skeletal abnormalities.","['What are the signs and symptoms of CODAS syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for CODAS syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal form of the vertebral bodies 90% Abnormality of dental enamel 90% Abnormality of dental morphology 90% Abnormality of epiphysis morphology 90% Abnormality of the metacarpal bones 90% Anteverted nares 90% Brachydactyly syndrome 90% Cataract 90% Cognitive impairment 90% Delayed eruption of teeth 90% Delayed skeletal maturation 90% Depressed nasal bridge 90% Epicanthus 90% Malar flattening 90% Midline defect of the nose 90% Overfolded helix 90% Short nose 90% Short stature 90% Abnormality of the hip bone 50% Joint hypermobility 50% Muscular hypotonia 50% Ptosis 50% Scoliosis 50% Sensorineural hearing impairment 50% Abnormality of the upper urinary tract 7.5% Extrahepatic biliary duct atresia 7.5% Nystagmus 7.5% Strabismus 7.5% Ventricular septal defect 7.5% Vocal cord paresis 7.5% Anal atresia 5% Cryptorchidism 5% Omphalocele 5% Proximal placement of thumb 5% Rectovaginal fistula 5% Seizures 5% Atria septal defect - Atrioventricular canal defect - Autosomal recessive inheritance - Broad skull - Congenital cataract - Congenital hip dislocation - Coronal cleft vertebrae - Delayed ossification of carpal bones - Genu valgum - Hypoplasia of dental enamel - Hypoplasia of the corpus callosum - Hypoplasia of the odontoid process - Metaphyseal dysplasia - Polyhydramnios - Short humerus - Short metacarpal - Short phalanx of finger - Squared iliac bones - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.']",True,True
23,information,What is (are) Stve-Wiedemann syndrome ?,1,"Stve-Wiedemann syndrome is a severe condition characterized by bone abnormalities and dysfunction of the autonomic nervous system, which controls involuntary body processes such as the regulation of breathing rate and body temperature. The condition is apparent from birth, and its key features include abnormal curvature (bowing) of the long bones in the legs, difficulty feeding and swallowing, and episodes of dangerously high body temperature (hyperthermia).  In addition to bowed legs, affected infants can have bowed arms, permanently bent fingers and toes (camptodactyly), and joint deformities (contractures) in the elbows and knees that restrict their movement. Other features include abnormalities of the pelvic bones (the ilia) and reduced bone mineral density (osteopenia).  In infants with Stve-Wiedemann syndrome, dysfunction of the autonomic nervous system typically leads to difficulty feeding and swallowing, breathing problems, and episodes of hyperthermia. Affected infants may also sweat excessively, even when the body temperature is not elevated, or have a reduced ability to feel pain. Many babies with this condition do not survive past infancy because of the problems regulating breathing and body temperature; however, some people with Stve-Wiedemann syndrome live into adolescence or later.  Problems with breathing and swallowing usually improve in affected children who survive infancy; however, they still have difficulty regulating body temperature. In addition, the leg bowing worsens, and children with Stve-Wiedemann syndrome may develop prominent joints, an abnormal curvature of the spine (scoliosis), and spontaneous bone fractures. Some affected individuals have a smooth tongue that lacks the bumps that house taste buds (fungiform papillae). Affected children may also lose certain reflexes, particularly the reflex to blink when something touches the eye (corneal reflex) and the knee-jerk reflex (patellar reflex).  Another condition once known as Schwartz-Jampel syndrome type 2 is now considered to be part of Stve-Wiedemann syndrome. Researchers have recommended that the designation Schwartz-Jampel syndrome type 2 no longer be used.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""SWS"", ""full_form"": ""Stve-Wiedemann syndrome""}]}",What is (are) SWS ?,What is (are) Stve-Wiedemann syndrome ?,"SWS can refer to multiple things, including Surface Web Scraper, a tool for data extraction from websites, or Software Services, indicating services related to software development and maintenance. The context is needed to determine the specific meaning.","Stuve-Wiedemann syndrome is a rare genetic disorder characterized by skeletal abnormalities, muscle weakness, and difficulties with regulating body temperature.","['Stve-Wiedemann syndrome is a severe condition characterized by bone abnormalities and dysfunction of the autonomic nervous system, which controls involuntary body processes such as the regulation of breathing rate and body temperature. The condition is apparent from birth, and its key features include abnormal curvature (bowing) of the long bones in the legs, difficulty feeding and swallowing, and episodes of dangerously high body temperature (hyperthermia).  In addition to bowed legs, affected infants can have bowed arms, permanently bent fingers and toes (camptodactyly), and joint deformities (contractures) in the elbows and knees that restrict their movement. Other features include abnormalities of the pelvic bones (the ilia) and reduced bone mineral density (osteopenia).  In infants with Stve-Wiedemann syndrome, dysfunction of the autonomic nervous system typically leads to difficulty feeding and swallowing, breathing problems, and episodes of hyperthermia. Affected infants may also sweat excessively, even when the body temperature is not elevated, or have a reduced ability to feel pain. Many babies with this condition do not survive past infancy because of the problems regulating breathing and body temperature; however, some people with Stve-Wiedemann syndrome live into adolescence or later.  Problems with breathing and swallowing usually improve in affected children who survive infancy; however, they still have difficulty regulating body temperature. In addition, the leg bowing worsens, and children with Stve-Wiedemann syndrome may develop prominent joints, an abnormal curvature of the spine (scoliosis), and spontaneous bone fractures. Some affected individuals have a smooth tongue that lacks the bumps that house taste buds (fungiform papillae). Affected children may also lose certain reflexes, particularly the reflex to blink when something touches the eye (corneal reflex) and the knee-jerk reflex (patellar reflex).  Another condition once known as Schwartz-Jampel syndrome type 2 is now considered to be part of Stve-Wiedemann syndrome. Researchers have recommended that the designation Schwartz-Jampel syndrome type 2 no longer be used.']",,True
24,information,What is (are) megalencephalic leukoencephalopathy with subcortical cysts ?,1,"Megalencephalic leukoencephalopathy with subcortical cysts is a progressive condition that affects brain development and function. Individuals with this condition typically have an enlarged brain (megalencephaly) that is evident at birth or within the first year of life. Megalencephaly leads to an increase in the size of the head (macrocephaly). Affected people also have leukoencephalopathy, an abnormality of the brain's white matter. White matter consists of nerve fibers covered by a fatty substance called myelin. Myelin insulates nerve fibers and promotes the rapid transmission of nerve impulses. In megalencephalic leukoencephalopathy with subcortical cysts, the myelin is swollen and contains numerous fluid-filled pockets (vacuoles). Over time, the swelling decreases and the myelin begins to waste away (atrophy). Individuals affected with this condition may develop cysts in the brain; because these cysts form below an area of the brain called the cerebral cortex, they are called subcortical cysts. These cysts can grow in size and number.  The brain abnormalities in people with megalencephalic leukoencephalopathy with subcortical cysts affect the use of muscles and lead to movement problems. Affected individuals typically experience muscle stiffness (spasticity) and difficulty coordinating movements (ataxia). Walking ability varies greatly among those affected. Some people lose the ability to walk early in life and need wheelchair assistance, while others are able to walk unassisted well into adulthood. Minor head trauma can further impair movements and may lead to coma. Affected individuals may also develop uncontrolled muscle tensing (dystonia), involuntary writhing movements of the limbs (athetosis), difficulty swallowing (dysphagia), and impaired speech (dysarthria). More than half of all people with this condition have recurrent seizures (epilepsy). Despite the widespread brain abnormalities, people with this condition typically have only mild to moderate intellectual disability.  There are three types of megalencephalic leukoencephalopathy with subcortical cysts, which are distinguished by their signs and symptoms and genetic cause. Types 1 and 2A have different genetic causes but are nearly identical in signs and symptoms. Types 2A and 2B have the same genetic cause but the signs and symptoms of type 2B often begin to improve after one year. After improvement, individuals with type 2B usually have macrocephaly and may have intellectual disability.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MLC"", ""full_form"": ""megalencephalic leukoencephalopathy with subcortical cysts""}]}",What is (are) MLC ?,What is (are) megalencephalic leukoencephalopathy with subcortical cysts ?,"MLC can refer to Multi-Level Cell, a type of NAND flash memory that stores more than one bit per cell, or it can refer to other concepts depending on the context.","Megalencephalic leukoencephalopathy with subcortical cysts is a rare genetic neurological disorder characterized by an abnormally large brain (megalencephaly), deterioration of white matter in the brain (leukoencephalopathy), and the formation of cysts in certain areas of the brain.","[""Megalencephalic leukoencephalopathy with subcortical cysts is a progressive condition that affects brain development and function. Individuals with this condition typically have an enlarged brain (megalencephaly) that is evident at birth or within the first year of life. Megalencephaly leads to an increase in the size of the head (macrocephaly). Affected people also have leukoencephalopathy, an abnormality of the brain's white matter. White matter consists of nerve fibers covered by a fatty substance called myelin. Myelin insulates nerve fibers and promotes the rapid transmission of nerve impulses. In megalencephalic leukoencephalopathy with subcortical cysts, the myelin is swollen and contains numerous fluid-filled pockets (vacuoles). Over time, the swelling decreases and the myelin begins to waste away (atrophy). Individuals affected with this condition may develop cysts in the brain; because these cysts form below an area of the brain called the cerebral cortex, they are called subcortical cysts. These cysts can grow in size and number.  The brain abnormalities in people with megalencephalic leukoencephalopathy with subcortical cysts affect the use of muscles and lead to movement problems. Affected individuals typically experience muscle stiffness (spasticity) and difficulty coordinating movements (ataxia). Walking ability varies greatly among those affected. Some people lose the ability to walk early in life and need wheelchair assistance, while others are able to walk unassisted well into adulthood. Minor head trauma can further impair movements and may lead to coma. Affected individuals may also develop uncontrolled muscle tensing (dystonia), involuntary writhing movements of the limbs (athetosis), difficulty swallowing (dysphagia), and impaired speech (dysarthria). More than half of all people with this condition have recurrent seizures (epilepsy). Despite the widespread brain abnormalities, people with this condition typically have only mild to moderate intellectual disability.  There are three types of megalencephalic leukoencephalopathy with subcortical cysts, which are distinguished by their signs and symptoms and genetic cause. Types 1 and 2A have different genetic causes but are nearly identical in signs and symptoms. Types 2A and 2B have the same genetic cause but the signs and symptoms of type 2B often begin to improve after one year. After improvement, individuals with type 2B usually have macrocephaly and may have intellectual disability.""]",,True
25,treatment,What are the treatments for Congenital adrenal hyperplasia ?,1,"How might congenital adrenal hyperplasia be treated? The best treatment options for congenital adrenal hyperplasia (CAH) depend on many factors including the type of CAH and the signs and symptoms present in each person. Many people with CAH require steroids to replace the low hormones. These medications will need to be taken daily throughout life or the symptoms of CAH may return. It is important that affected people on medications be closely followed by their healthcare provider because their dose may need to be adjusted at different times in life such as periods of high stress or illness. Girls with severe CAH who are born with ambiguous genitalia may undergo surgery to ensure proper function and/or to make the genitals look more female. For more information on the treatment of CAH, please click here.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CAH"", ""full_form"": ""Congenital adrenal hyperplasia""}]}",What are the treatments for CAH ?,What are the treatments for Congenital adrenal hyperplasia ?,"Treatments for CAH (Congenital Adrenal Hyperplasia) include hormone replacement therapy, such as glucocorticoids and mineralocorticoids, and, in some cases, surgical intervention for genital ambiguity.","Treatments for Congenital adrenal hyperplasia include hormone replacement therapy, such as glucocorticoids and mineralocorticoids, and, in some cases, surgical correction of genital anomalies.","['How might congenital adrenal hyperplasia be treated? The best treatment options for congenital adrenal hyperplasia (CAH) depend on many factors including the type of CAH and the signs and symptoms present in each person. Many people with CAH require steroids to replace the low hormones. These medications will need to be taken daily throughout life or the symptoms of CAH may return. It is important that affected people on medications be closely followed by their healthcare provider because their dose may need to be adjusted at different times in life such as periods of high stress or illness. Girls with severe CAH who are born with ambiguous genitalia may undergo surgery to ensure proper function and/or to make the genitals look more female. For more information on the treatment of CAH, please click here.']",True,True
26,exams and tests,How to diagnose Glutaric acidemia type I ?,1,"Is genetic testing available for glutaric acidemia type I? Yes. The Genetic Testing Registry (GTR) provides information about the labs that offer genetic testing for this condition. The intended audience for the GTR is health care providers and researchers. Therefore, patients and consumers with specific questions about a genetic test should contact a health care provider or a genetics professional.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""GA I"", ""full_form"": ""Glutaric acidemia type I""}]}",How to diagnose GA I ?,How to diagnose Glutaric acidemia type I ?,"To diagnose Glycogen Storage Disease Type I (GSD I), a combination of clinical evaluation, biochemical tests (such as measuring blood glucose and lactate levels), genetic testing to identify mutations in the G6PC (for GSD Ia) or SLC37A4 (for GSD Ib) genes, and liver biopsy for enzyme activity assessment can be used.","Glutaric acidemia type I is diagnosed through newborn screening, genetic testing, and biochemical tests measuring glutaric acid and related metabolites in urine or blood.","['Is genetic testing available for glutaric acidemia type I? Yes. The Genetic Testing Registry (GTR) provides information about the labs that offer genetic testing for this condition. The intended audience for the GTR is health care providers and researchers. Therefore, patients and consumers with specific questions about a genetic test should contact a health care provider or a genetics professional.']",,True
27,symptoms,What are the symptoms of Progressive familial heart block type 1A ?,1,"What are the signs and symptoms of Progressive familial heart block type 1A? The Human Phenotype Ontology provides the following list of signs and symptoms for Progressive familial heart block type 1A. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Arrhythmia 50% Autosomal dominant inheritance - Complete heart block with broad RS complexes - Dyspnea - Heterogeneous - Left anterior fascicular block - Left postterior fascicular block - Right bundle branch block - Sudden cardiac death - Sudden death - Syncope - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PFHBI"", ""full_form"": ""Progressive familial heart block type 1A""}]}",What are the symptoms of PFHBI ?,What are the symptoms of Progressive familial heart block type 1A ?,"There is no known condition abbreviated as PFHBI, thus no symptoms can be provided.","Symptoms of Progressive familial heart block type 1A can include fainting, fatigue, dizziness, and shortness of breath due to the heart's inability to properly conduct electrical signals, leading to irregular heartbeats.","['What are the signs and symptoms of Progressive familial heart block type 1A? The Human Phenotype Ontology provides the following list of signs and symptoms for Progressive familial heart block type 1A. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Arrhythmia 50% Autosomal dominant inheritance - Complete heart block with broad RS complexes - Dyspnea - Heterogeneous - Left anterior fascicular block - Left postterior fascicular block - Right bundle branch block - Sudden cardiac death - Sudden death - Syncope - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.']",,True
28,inheritance,Is GM3 synthase deficiency inherited ?,1,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""GM3"", ""full_form"": ""Ganglioside Monosialic acid 3""}]}",Is GM3 synthase deficiency inherited ?,Is Ganglioside Monosialic acid 3 synthase deficiency inherited ?,Yes,Yes,"['This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.']",,
29,genetic changes,What are the genetic changes related to STING-associated vasculopathy with onset in infancy ?,1,"SAVI is caused by mutations in the TMEM173 gene. This gene provides instructions for making a protein called STING, which is involved in immune system function. STING helps produce beta-interferon, a member of a class of proteins called cytokines that promote inflammation.  The TMEM173 gene mutations that cause SAVI are described as ""gain-of-function"" mutations because they enhance the activity of the STING protein, leading to overproduction of beta-interferon. Abnormally high beta-interferon levels cause excessive inflammation that results in tissue damage, leading to the signs and symptoms of SAVI.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""STING"", ""full_form"": ""Stimulator of Interferon Genes""}]}",What are the genetic changes related to STING-associated vasculopathy with onset in infancy ?,What are the genetic changes related to Stimulator of Interferon Genes-associated vasculopathy with onset in infancy ?,"Mutations in the TMEM173 gene, which encodes the stimulator of interferon genes (STING) protein, are related to STING-associated vasculopathy with onset in infancy (SAVI).","Mutations in the TMEM173 gene, which encodes the stimulator of interferon genes (STING) protein, are related to Stimulator of Interferon Genes-associated vasculopathy with onset in infancy (SAVI).","['SAVI is caused by mutations in the TMEM173 gene. This gene provides instructions for making a protein called STING, which is involved in immune system function. STING helps produce beta-interferon, a member of a class of proteins called cytokines that promote inflammation.  The TMEM173 gene mutations that cause SAVI are described as ""gain-of-function"" mutations because they enhance the activity of the STING protein, leading to overproduction of beta-interferon. Abnormally high beta-interferon levels cause excessive inflammation that results in tissue damage, leading to the signs and symptoms of SAVI.']",True,True
30,information,What is (are) 15q24 microdeletion ?,0,"15q24 microdeletion is a chromosomal change in which a small piece of chromosome 15 is deleted in each cell. The deletion occurs on the long (q) arm of the chromosome at a position designated q24.  15q24 microdeletion is associated with mild to moderate intellectual disability and delayed speech development. Other common signs and symptoms include short stature, weak muscle tone (hypotonia), and skeletal abnormalities including loose (lax) joints. Affected males may have genital abnormalities, which can include an unusually small penis (micropenis) and the opening of the urethra on the underside of the penis (hypospadias). Affected individuals also have distinctive facial features such as a high front hairline, broad eyebrows, widely set eyes (hypertelorism), outside corners of the eyes that point downward (downslanting palpebral fissures), a broad nasal bridge, a full lower lip, and a long, smooth space between the upper lip and nose (philtrum).","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""15q24"", ""full_form"": ""(are) 15q24""}]}",,,,,,,
31,treatment,What are the treatments for familial cold autoinflammatory syndrome ?,1,These resources address the diagnosis or management of familial cold autoinflammatory syndrome:  - Genetic Testing Registry: Familial cold autoinflammatory syndrome 2  - Genetic Testing Registry: Familial cold urticaria   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FCAS"", ""full_form"": ""familial cold autoinflammatory syndrome""}]}",What are the treatments for FCAS ?,What are the treatments for familial cold autoinflammatory syndrome ?,"Treatments for FCAS (Familial Cold Autoinflammatory Syndrome) include nonsteroidal anti-inflammatory drugs (NSAIDs), corticosteroids, and IL-1 inhibitors such as anakinra, canakinumab, and rilonacept.","Treatments for familial cold autoinflammatory syndrome include nonsteroidal anti-inflammatory drugs (NSAIDs), corticosteroids, and biologic agents such as anakinra (an interleukin-1 receptor antagonist).",['These resources address the diagnosis or management of familial cold autoinflammatory syndrome:  - Genetic Testing Registry: Familial cold autoinflammatory syndrome 2  - Genetic Testing Registry: Familial cold urticaria   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care'],,
32,inheritance,"Is distal hereditary motor neuropathy, type II inherited ?",1,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HMN-II"", ""full_form"": ""hereditary motor neuropathy, type II""}]}",Is distal HMN-II inherited ?,"Is distal hereditary motor neuropathy, type II inherited ?",Yes,Yes,"['This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.']",,
33,information,Do you have information about X-Rays,0,"Summary : X-rays are a type of radiation called electromagnetic waves. X-ray imaging creates pictures of the inside of your body. The images show the parts of your body in different shades of black and white. This is because different tissues absorb different amounts of radiation. Calcium in bones absorbs x-rays the most, so bones look white. Fat and other soft tissues absorb less, and look gray. Air absorbs the least, so lungs look black.    The most familiar use of x-rays is checking for broken bones, but x-rays are also used in other ways. For example, chest x-rays can spot pneumonia. Mammograms use x-rays to look for breast cancer.    When you have an x-ray, you may wear a lead apron to protect certain parts of your body. The amount of radiation you get from an x-ray is small. For example, a chest x-ray gives out a radiation dose similar to the amount of radiation you're naturally exposed to from the environment over 10 days.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""X-Rays"", ""full_form"": ""X-Radiation""}]}",,,,,,,
34,information,What is (are) familial encephalopathy with neuroserpin inclusion bodies ?,1,"Familial encephalopathy with neuroserpin inclusion bodies (FENIB) is a disorder that causes progressive dysfunction of the brain (encephalopathy). It is characterized by a loss of intellectual functioning (dementia) and seizures. At first, affected individuals may have difficulty sustaining attention and concentrating. They may experience repetitive thoughts, speech, or movements. As the condition progresses, their personality changes and judgment, insight, and memory become impaired. Affected people lose the ability to perform the activities of daily living, and most eventually require comprehensive care.  The signs and symptoms of FENIB vary in their severity and age of onset. In severe cases, the condition causes seizures and episodes of sudden, involuntary muscle jerking or twitching (myoclonus) in addition to dementia. These signs can appear as early as a person's teens. Less severe cases are characterized by a progressive decline in intellectual functioning beginning in a person's forties or fifties.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FENIB"", ""full_form"": ""familial encephalopathy with neuroserpin inclusion bodies""}]}",What is (are) FENIB ?,What is (are) familial encephalopathy with neuroserpin inclusion bodies ?,"FENIB stands for Federación Nacional de Industriales de la Bicicleta, which is the National Federation of Bicycle Industrialists in Spain.","Familial encephalopathy with neuroserpin inclusion bodies is a genetic disorder characterized by the accumulation of abnormal neuroserpin protein within the brain, leading to dementia and other neurological symptoms.","[""Familial encephalopathy with neuroserpin inclusion bodies (FENIB) is a disorder that causes progressive dysfunction of the brain (encephalopathy). It is characterized by a loss of intellectual functioning (dementia) and seizures. At first, affected individuals may have difficulty sustaining attention and concentrating. They may experience repetitive thoughts, speech, or movements. As the condition progresses, their personality changes and judgment, insight, and memory become impaired. Affected people lose the ability to perform the activities of daily living, and most eventually require comprehensive care.  The signs and symptoms of FENIB vary in their severity and age of onset. In severe cases, the condition causes seizures and episodes of sudden, involuntary muscle jerking or twitching (myoclonus) in addition to dementia. These signs can appear as early as a person's teens. Less severe cases are characterized by a progressive decline in intellectual functioning beginning in a person's forties or fifties.""]",,True
