qtype,question,answer,possible_ambiguities,ambiguous_question,unambiguous_question
symptoms,What are the symptoms of Arthrogryposis renal dysfunction cholestasis syndrome ?,"What are the signs and symptoms of Arthrogryposis renal dysfunction cholestasis syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Arthrogryposis renal dysfunction cholestasis syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the renal tubule 90% Abnormality of thrombocytes 90% Cognitive impairment 90% Limitation of joint mobility 90% Low-set, posteriorly rotated ears 90% Abnormal renal physiology 50% Abnormality of coagulation 50% Abnormality of temperature regulation 50% Aminoaciduria 50% Diabetes insipidus 50% Hepatomegaly 50% Ichthyosis 50% Malabsorption 50% Muscular hypotonia 50% Oligohydramnios 50% Recurrent fractures 50% Rocker bottom foot 50% Skeletal muscle atrophy 50% Talipes 50% Abnormality of the cardiac septa 7.5% Abnormality of the hip bone 7.5% Abnormality of the palate 7.5% Anemia 7.5% Aplasia/Hypoplasia of the corpus callosum 7.5% Cirrhosis 7.5% Convex nasal ridge 7.5% Cutis laxa 7.5% Depressed nasal bridge 7.5% Hypothyroidism 7.5% Kyphosis 7.5% Nephrolithiasis 7.5% Pectus carinatum 7.5% Sensorineural hearing impairment 7.5% Upslanted palpebral fissure 7.5% Abnormal bleeding 5% Lissencephaly 5% Nephrogenic diabetes insipidus 5% Atria septal defect - Autosomal recessive inheritance - Cholestatic liver disease - Conjugated hyperbilirubinemia - Death in infancy - Dehydration - Elevated hepatic transaminases - Failure to thrive - Giant cell hepatitis - Hip dysplasia - Jaundice - Low-set ears - Metabolic acidosis - Microcephaly - Nephrocalcinosis - Nephropathy - Renal tubular acidosis - Right ventricular hypertrophy - Sloping forehead - Talipes calcaneovalgus - Ventricular septal defect - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""ARC"", ""full_form"": ""Arthrogryposis renal dysfunction cholestasis syndrome""}]}",What are the symptoms of ARC ?,What are the symptoms of Arthrogryposis renal dysfunction cholestasis syndrome ?
genetic changes,What are the genetic changes related to carnitine palmitoyltransferase I deficiency ?,"Mutations in the CPT1A gene cause CPT I deficiency. This gene provides instructions for making an enzyme called carnitine palmitoyltransferase 1A, which is found in the liver. Carnitine palmitoyltransferase 1A is essential for fatty acid oxidation, which is the multistep process that breaks down (metabolizes) fats and converts them into energy. Fatty acid oxidation takes place within mitochondria, which are the energy-producing centers in cells. A group of fats called long-chain fatty acids cannot enter mitochondria unless they are attached to carnitine. Carnitine palmitoyltransferase 1A connects carnitine to long-chain fatty acids so they can enter mitochondria and be used to produce energy. During periods of fasting, long-chain fatty acids are an important energy source for the liver and other tissues.  Mutations in the CPT1A gene severely reduce or eliminate the activity of carnitine palmitoyltransferase 1A. Without enough of this enzyme, carnitine is not attached to long-chain fatty acids. As a result, these fatty acids cannot enter mitochondria and be converted into energy. Reduced energy production can lead to some of the features of CPT I deficiency, such as hypoketotic hypoglycemia. Fatty acids may also build up in cells and damage the liver, heart, and brain. This abnormal buildup causes the other signs and symptoms of the disorder.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CPT I"", ""full_form"": ""carnitine palmitoyltransferase I""}]}",What are the genetic changes related to CPT I deficiency ?,What are the genetic changes related to carnitine palmitoyltransferase I deficiency ?
symptoms,What are the symptoms of Dyssynergia cerebellaris myoclonica ?,"What are the signs and symptoms of Dyssynergia cerebellaris myoclonica? The Human Phenotype Ontology provides the following list of signs and symptoms for Dyssynergia cerebellaris myoclonica. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Generalized seizures 7.5% Abnormality of the dentate nucleus - Abnormality of the mitochondrion - Ataxia - Autosomal dominant inheritance - Intention tremor - Myoclonus - Pallidal degeneration - Ragged-red muscle fibers - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""DCM"", ""full_form"": ""Dyssynergia cerebellaris myoclonica""}]}",What are the symptoms of DCM ?,What are the symptoms of Dyssynergia cerebellaris myoclonica ?
considerations,What to do for Ulcerative Colitis ?,"- Ulcerative colitis is a chronic, or long lasting, disease that causes inflammationirritation or swellingand sores called ulcers on the inner lining of the large intestine.  - The exact cause of ulcerative colitis is unknown. Researchers believe that factors such as an overactive intestinal immune system, genes, and environment may play a role in causing ulcerative colitis.  - Ulcerative colitis can occur in people of any age. However, it is more likely to develop in people      - between the ages of 15 and 30    - older than 60    - who have a family member with inflammatory bowel disease (IBD)    - of Jewish descent    - The most common signs and symptoms of ulcerative colitis are diarrhea with blood or pus and abdominal discomfort.  - A health care provider diagnoses ulcerative colitis with the following:      - medical and family history    - physical exam    - lab tests    - endoscopies of the large intestine    - Which treatment a person needs depends on the severity of the disease and symptoms.  - Good nutrition is important in the management of ulcerative colitis. A health care provider may recommend that a person make dietary changes.  - People with ulcerative colitis should talk with their health care provider about how often they should get screened for colon cancer.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""UC"", ""full_form"": ""Ulcerative Colitis""}]}",What to do for UC ?,What to do for Ulcerative Colitis ?
frequency,How many people are affected by benign essential blepharospasm ?,"Benign essential blepharospasm affects an estimated 20,000 to 50,000 people in the United States. For unknown reasons, it occurs in women more than twice as often as it occurs in men.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BEB"", ""full_form"": ""benign essential blepharospasm""}]}",How many people are affected by BEB ?,How many people are affected by benign essential blepharospasm ?
inheritance,Is primary ciliary dyskinesia inherited ?,"This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PCD"", ""full_form"": ""primary ciliary dyskinesia""}]}",Is PCD inherited ?,Is primary ciliary dyskinesia inherited ?
frequency,How many people are affected by trimethylaminuria ?,Trimethylaminuria is an uncommon genetic disorder; its incidence is unknown.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""TMAU"", ""full_form"": ""trimethylaminuria""}]}",How many people are affected by TMAU ?,How many people are affected by trimethylaminuria ?
outlook,What is the outlook for Sjgren's Syndrome ?,"Sjgren's syndrome can damage vital organs of the body with symptoms that may remain stable, worsen, or go into remission. Some people may experience only the mild symptoms of dry eyes and mouth, while others go through cycles of good health followed by severe disease. Many patients are able to treat problems symptomatically. Others are forced to cope with blurred vision, constant eye discomfort, recurrent mouth infections, swollen parotid glands, hoarseness, and difficulty in swallowing and eating. Debilitating fatigue and joint pain can seriously impair quality of life.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""Sjgren's Syndrome"", ""full_form"": ""Sj\u00f6gren's Syndrome""}]}",What is the outlook for Sjgren's Syndrome ?,What is the outlook for Sjögren's Syndrome ?
symptoms,What are the symptoms of Childhood Non-Hodgkin Lymphoma ?,"Signs of childhood non-Hodgkin lymphoma include breathing problems and swollen lymph nodes. These and other signs may be caused by childhood non-Hodgkin lymphoma or by other conditions. Check with a doctor if your child has any of the following:         - Trouble breathing.    - Wheezing.    - Coughing.    -  High-pitched breathing sounds.    - Swelling of the head, neck, upper body, or arms.    - Trouble swallowing.    - Painless swelling of the lymph nodes in the neck, underarm, stomach, or groin.    - Painless lump or swelling in a testicle.     -  Fever for no known reason.    - Weight loss for no known reason.    - Night sweats.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""NHL"", ""full_form"": ""Non-Hodgkin Lymphoma""}]}",What are the symptoms of Childhood NHL ?,What are the symptoms of Childhood Non-Hodgkin Lymphoma ?
susceptibility,Who is at risk for Metabolic Syndrome? ?,"People at greatest risk for metabolic syndrome have these underlying causes:
                
Abdominal obesity (a large waistline)
                
An inactive lifestyle
                
Insulin resistance
                
Some people are at risk for metabolic syndrome because they take medicines that cause weight gain or changes in blood pressure, blood cholesterol, and blood sugar levels. These medicines most often are used to treat inflammation, allergies, HIV, and depression and other types of mental illness.
                
Populations Affected
                
Some racial and ethnic groups in the United States are at higher risk for metabolic syndrome than others. Mexican Americans have the highest rate of metabolic syndrome, followed by whites and blacks.
                
Other groups at increased risk for metabolic syndrome include:
                
People who have a personal history of diabetes
                
People who have a sibling or parent who hasdiabetes
                
Women when compared with men
                
Women who have a personal history of polycystic ovarian syndrome (a tendency to develop cysts on the ovaries)
                
Heart Disease Risk
                
Metabolic syndrome increases your risk for coronary heart disease. Other risk factors, besides metabolic syndrome, also increase your risk for heart disease. For example, a high LDL (bad) cholesterol level and smoking are major risk factors for heart disease. For details about all of the risk factors for heart disease, go to the Coronary Heart Disease Risk Factors HealthTopic.
                
Even if you dont have metabolic syndrome, you should find out your short-term risk for heart disease. The National Cholesterol Education Program (NCEP) divides short-term heart disease risk into four categories. Your risk category depends on which risk factors you have and how many you have.
                
Your risk factors are used to calculate your 10-year risk of developing heart disease. The NCEP has an online calculator that you can use to estimate your 10-year risk of having a heart attack.
                
High risk: Youre in this category if you already have heart disease or diabetes, or if your 10-year risk score is more than 20 percent.
                
Moderately high risk: Youre in this category if you have two or more risk factors and your 10-year risk score is 10 percent to 20 percent.
                
Moderate risk: Youre in this category if you have two or more risk factors and your 10-year risk score is less than 10 percent.
                
Lower risk: Youre in this category if you have zero or one risk factor.
                
Even if your 10-year risk score isnt high, metabolic syndrome will increase your risk for coronary heart disease over time.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MetS"", ""full_form"": ""Metabolic Syndrome""}]}",Who is at risk for MetS? ?,Who is at risk for Metabolic Syndrome? ?
genetic changes,What are the genetic changes related to X-linked chondrodysplasia punctata 1 ?,"X-linked chondrodysplasia punctata 1 is caused by genetic changes involving the ARSE gene. This gene provides instructions for making an enzyme called arylsulfatase E. The function of this enzyme is unknown, although it appears to be important for normal skeletal development and is thought to participate in a chemical pathway involving vitamin K. Evidence suggests that vitamin K normally plays a role in bone growth and maintenance of bone density.  Between 60 and 75 percent of males with the characteristic features of X-linked chondrodysplasia punctata 1 have a mutation in the ARSE gene. These mutations reduce or eliminate the function of arylsulfatase E. Another 25 percent of affected males have a small deletion of genetic material from the region of the X chromosome that contains the ARSE gene. These individuals are missing the entire gene, so their cells produce no functional arylsulfatase E. Researchers are working to determine how a shortage of arylsulfatase E disrupts the development of bones and cartilage and leads to the characteristic features of X-linked chondrodysplasia punctata 1.  Some people with the features of X-linked chondrodysplasia punctata 1 do not have an identified mutation in the ARSE gene or a deletion involving the gene. Other, as-yet-unidentified genetic and environmental factors may also be involved in causing this disorder.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""XLC1"", ""full_form"": ""X-linked chondrodysplasia punctata 1""}]}",What are the genetic changes related to XLC1 ?,What are the genetic changes related to X-linked chondrodysplasia punctata 1 ?
exams and tests,How to diagnose Immune Thrombocytopenia ?,"Your doctor will diagnose immune thrombocytopenia (ITP) based on your medical history, a physical exam, and test results.
                
Your doctor will want to make sure that your low platelet count isn't due to another condition (such as an infection) or medicines you're taking (such as chemotherapy medicines or aspirin).
                
Medical History
                
Your doctor may ask about:
                
Your signs and symptoms of bleeding and any other signs or symptoms you're having
                
Whether you have illnesses that could lower your platelet count or cause bleeding
                
Medicines or any over-the-counter supplements or remedies you take that could cause bleeding or lower your platelet count
                
Physical Exam
                
During a physical exam, your doctor will look for signs of bleeding and infection. For example, your doctor may look for purplish areas on the skin or mucous membranes and pinpoint red spots on the skin. These are signs of bleeding under the skin.
                
Diagnostic Tests
                
You'll likely have blood tests to check your platelet count. These tests usually include:
                
A complete blood count. This test checks the number of red blood cells, white blood cells, and platelets in your blood. In ITP, the red and white blood cell counts are normal, but the platelet count is low.
                
A blood smear. For this test, some of your blood is put on a slide. A microscope is used to look at your platelets and other blood cells.
                
You also may have a blood test to check for the antibodies (proteins) that attack platelets.
                
If blood tests show that your platelet count is low, your doctor may recommend more tests to confirm a diagnosis of ITP. For example, bone marrow tests can show whether your bone marrow is making enough platelets.
                
If you're at risk for HIV, hepatitis C, or H. pylori, your doctor may screen you for these infections, which might be linked to ITP.
                
Some people who have mild ITP have few or no signs of bleeding. They may be diagnosed only if a blood test done for another reason shows that they have low platelet counts.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""ITP"", ""full_form"": ""Immune Thrombocytopenia""}]}",How to diagnose ITP ?,How to diagnose Immune Thrombocytopenia ?
treatment,What are the treatments for Kawasaki syndrome ?,"How might Kawasaki disease be treated? Intravenous gamma globulin is the standard treatment for Kawasaki disease and is administered in high doses. Children with Kawasaki disease usually greatly improve within 24 hours of treatment with IV gamma globulin. Aspirin is often given in combination with the IV gamma globulin as part of the treatment plan. We found limited information on the management of Kawasaki disease specifically in adults, however you may find the following articles to be helpful: Dauphin C. et al., Kawasaki disease is also a disease of adults: report of six cases. Arch Mal Coeur Vaiss [serial online]. 2007;100(5):439-447. Sve P, Stankovic K, Smail A, Durand DV, Marchand G, and Broussolle C. Adult Kawasaki disease: report of two cases and literature review. Semin Arthritis Rheum. 2005;34(6):785-792. Sve P, Bui-Xuan C, Charhon A, and Broussolle C. Adult Kawasaki disease. Rev Med Interne [serial online]. 2003;24(9):577-584.In the article listed above by Dauphin C. et al. the authors describe that of the five adult patients with Kawasaki disease who were treated, all progressed favorably after a course of immunoglobulins.  In addition, in the article by Sve P. et al., the authors comment that 'although adult KD often was diagnosed after the acute phase, when a significant beneficial effect from gammaglobulin infusion could not be expected, this treatment did appear to shorten the course of the disease.'","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""KS"", ""full_form"": ""Kawasaki syndrome""}]}",What are the treatments for KS ?,What are the treatments for Kawasaki syndrome ?
genetic changes,What are the genetic changes related to familial hemophagocytic lymphohistiocytosis ?,"Familial hemophagocytic lymphohistiocytosis may be caused by mutations in any of several genes. These genes provide instructions for making proteins that help destroy or deactivate lymphocytes that are no longer needed. By controlling the number of activated lymphocytes, these genes help regulate immune system function.  Approximately 40 to 60 percent of cases of familial hemophagocytic lymphohistiocytosis are caused by mutations in the PRF1 or UNC13D genes. Smaller numbers of cases are caused by mutations in other known genes. In some affected individuals, the genetic cause of the disorder is unknown.  The gene mutations that cause familial hemophagocytic lymphohistiocytosis impair the body's ability to regulate the immune system. These changes result in the exaggerated immune response characteristic of this condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FHL"", ""full_form"": ""familial hemophagocytic lymphohistiocytosis""}]}",What are the genetic changes related to FHL ?,What are the genetic changes related to familial hemophagocytic lymphohistiocytosis ?
causes,What causes Glucose transporter type 1 deficiency syndrome ?,What causes glucose transporter type 1 deficiency syndrome? Glucose transporter type 1 deficiency syndrome (GLUT1 deficiency syndrome) is caused by changes (mutations) in the SLC2A1 gene. This gene encodes a protein that helps transport glucose (a simple sugar) into cells where it is used as fuel. The protein is particularly important in the central nervous system since glucose is the brain's main source of energy. SLC2A1 mutations impair the function of the protein. This significantly reduces the amount of glucose available to brain cells leading to the many signs and symptoms associated with GLUT1 deficiency syndrome.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""GLUT1"", ""full_form"": ""Glucose transporter type 1""}]}",What causes GLUT1 deficiency syndrome ?,What causes Glucose transporter type 1 deficiency syndrome ?
information,Do you have information about Kidney Transplantation,"Summary : A kidney transplant is an operation that places a healthy kidney in your body. The transplanted kidney takes over the work of the two kidneys that failed, so you no longer need dialysis.     During a transplant, the surgeon places the new kidney in your lower abdomen and connects the artery and vein of the new kidney to your artery and vein. Often, the new kidney will start making urine as soon as your blood starts flowing through it. But sometimes it takes a few weeks to start working.     Many transplanted kidneys come from donors who have died. Some come from a living family member. The wait for a new kidney can be long.    If you have a transplant, you must take drugs for the rest of your life, to keep your body from rejecting the new kidney.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""KT"", ""full_form"": ""Kidney Transplantation""}]}",Do you have information about KT,Do you have information about Kidney Transplantation
treatment,What are the treatments for SYNGAP1-related intellectual disability ?,"These resources address the diagnosis or management of SYNGAP1-related intellectual disability:  - Eunice Kennedy Shriver National Institute of Child Health and Human Development: What Are Treatments for Intellectual and Developmental Disabilities?  - Genetic Testing Registry: Mental retardation, autosomal dominant 5   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""SYNGAP1"", ""full_form"": ""Synaptic Ras GTPase activating protein 1""}]}",What are the treatments for SYNGAP1-related intellectual disability ?,What are the treatments for Synaptic Ras GTPase activating protein 1-related intellectual disability ?
inheritance,Is Hereditary sensory neuropathy type 1 inherited ?,"How is hereditary sensory neuropathy type 1 inherited? Hereditary sensory neuropathy type 1 (HSN1) is inherited in an autosomal dominant manner. This means that having only one changed (mutated) copy of the responsible gene in each cell is enough to cause signs and symptoms of the condition. When a person with an autosomal dominant condition has children, each child has a 50% (1 in 2) risk to inherit the mutated gene from the affected parent. In rare cases, a mutation that causes HSN1 occurs sporadically as a new (de novo) mutation in a person without an affected parent.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HSN1"", ""full_form"": ""Hereditary sensory neuropathy type 1""}]}",Is HSN1 inherited ?,Is Hereditary sensory neuropathy type 1 inherited ?
genetic changes,What are the genetic changes related to activated PI3K-delta syndrome ?,"Activated PI3K-delta syndrome is caused by mutations in the PIK3CD gene, which provides instructions for making a protein called p110 delta (p110). This protein is one piece (subunit) of an enzyme called phosphatidylinositol 3-kinase (PI3K), which turns on signaling pathways within cells. The version of PI3K containing the p110 subunit, called PI3K-delta, is specifically found in white blood cells, including B cells and T cells. PI3K-delta signaling is involved in the growth and division (proliferation) of white blood cells, and it helps direct B cells and T cells to mature (differentiate) into different types, each of which has a distinct function in the immune system.  PIK3CD gene mutations involved in activated PI3K-delta syndrome lead to production of an altered p110 protein. A PI3K-delta enzyme containing the altered subunit is abnormally turned on (activated). Studies indicate that overactive PI3K-delta signaling alters the differentiation of B cells and T cells, leading to production of cells that cannot respond to infections and that die earlier than usual. Lack of functioning B cells and T cells makes it difficult for people with this disorder to fight off bacterial and viral infections. Overactivation of PI3K-delta signaling can also stimulate abnormal proliferation of white blood cells, leading to lymphadenopathy and nodular lymphoid hyperplasia in some affected individuals. An increase in B cell proliferation in combination with reduced immune system function may contribute to development of B-cell lymphoma.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""PI3K-delta"", ""full_form"": ""Phosphoinositide 3-kinase delta""}]}",What are the genetic changes related to activated PI3K-delta syndrome ?,What are the genetic changes related to activated Phosphoinositide 3-kinase delta syndrome ?
information,Do you have information about Radiation Therapy,"Summary : Radiation therapy is a cancer treatment. It uses high doses of radiation to kill cancer cells and stop them from spreading. About half of all cancer patients receive it. The radiation may be external, from special machines, or internal, from radioactive substances that a doctor places inside your body. The type of radiation therapy you receive depends on many factors, including       - The type of cancer    - The size of the cancer    - The cancer's location in the body    - How close the cancer is to normal tissues that are sensitive to radiation    - How far into the body the radiation needs to travel    - Your general health and medical history    - Whether you will have other types of cancer treatment    - Other factors, such as your age and other medical conditions       Radiation therapy can damage normal cells as well as cancer cells. Treatment must be carefully planned to minimize side effects. Common side effects include skin changes and fatigue. Other side effects depend on the part of your body being treated.    Sometimes radiation is used with other treatments, like surgery or chemotherapy.     NIH: National Cancer Institute","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""RT"", ""full_form"": ""Radiation Therapy""}]}",Do you have information about RT,Do you have information about Radiation Therapy
symptoms,What are the symptoms of Convulsions benign familial neonatal dominant form ?,"What are the signs and symptoms of Convulsions benign familial neonatal dominant form? The Human Phenotype Ontology provides the following list of signs and symptoms for Convulsions benign familial neonatal dominant form. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Generalized tonic-clonic seizures - Hypertonia - Normal interictal EEG - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BFND"", ""full_form"": ""Convulsions benign familial neonatal dominant form""}]}",What are the symptoms of BFND ?,What are the symptoms of Convulsions benign familial neonatal dominant form ?
inheritance,Is progressive supranuclear palsy inherited ?,"Most cases of progressive supranuclear palsy are sporadic, which means they occur in people with no history of the disorder in their family. However, some people with this disorder have had family members with related conditions, such as parkinsonism and a loss of intellectual functions (dementia).  When progressive supranuclear palsy runs in families, it can have an autosomal dominant pattern of inheritance. Autosomal dominant inheritance means one copy of an altered gene in each cell is sufficient to cause the disorder.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PSP"", ""full_form"": ""progressive supranuclear palsy""}]}",Is PSP inherited ?,Is progressive supranuclear palsy inherited ?
frequency,How many people are affected by oculopharyngeal muscular dystrophy ?,"In Europe, the prevalence of oculopharyngeal muscular dystrophy is estimated to be 1 in 100,000 people. The autosomal dominant form of this condition is much more common in the French-Canadian population of the Canadian province of Quebec, where it is estimated to affect 1 in 1,000 individuals. Autosomal dominant oculopharyngeal muscular dystrophy is also seen more frequently in the Bukharan (Central Asian) Jewish population of Israel, affecting 1 in 600 people.  The autosomal recessive form of this condition is very rare; only a few cases of autosomal recessive oculopharyngeal muscular dystrophy have been identified.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""OPMD"", ""full_form"": ""oculopharyngeal muscular dystrophy""}]}",How many people are affected by OPMD ?,How many people are affected by oculopharyngeal muscular dystrophy ?
treatment,What are the treatments for familial cold autoinflammatory syndrome ?,These resources address the diagnosis or management of familial cold autoinflammatory syndrome:  - Genetic Testing Registry: Familial cold autoinflammatory syndrome 2  - Genetic Testing Registry: Familial cold urticaria   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FCAS"", ""full_form"": ""familial cold autoinflammatory syndrome""}]}",What are the treatments for FCAS ?,What are the treatments for familial cold autoinflammatory syndrome ?
frequency,How many people are affected by SYNGAP1-related intellectual disability ?,SYNGAP1-related intellectual disability is a relatively common form of cognitive impairment. It is estimated to account for 1 to 2 percent of intellectual disability cases.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""SYNGAP1"", ""full_form"": ""Synaptic Ras GTPase Activating Protein 1""}]}",How many people are affected by SYNGAP1-related intellectual disability ?,How many people are affected by Synaptic Ras GTPase Activating Protein 1-related intellectual disability ?
